city,ticker,floor_strike,target_date,end_period_ts,open_dollars,high_dollars,low_dollars,close_dollars,yes_bid_close,yes_ask_close,volume,fetched_at_utc
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852060,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852120,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852180,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852240,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852540,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852600,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785852840,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785853080,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785853860,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785854220,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785854460,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785854520,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785854640,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785855840,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785856140,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785856260,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785857160,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785857400,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785857460,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785858240,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785858660,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785858960,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785859260,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785859500,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785859560,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785859860,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785860160,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785860460,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785860760,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861000,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861060,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861120,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861360,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861660,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861900,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785861960,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785862260,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785862500,,,,,,,,2026-08-05T16:14:33.968007+00:00
houston,KXHIGHTHOU-26AUG05-B98.5,98.0,2026-08-06,1785862560,,,,,,,,2026-08-05T16:14:33.968007+00:00
