ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHTATL-26AUG22-T96,active,,0.01,0.02,187.0,5.0,0.98,0.99,0.02,0.0,380.66,380.66,350.66,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.0,2026-08-21T14:00:01.919412Z,2026-08-23T14:00:00Z,True
KXHIGHTATL-26AUG22-T89,active,,0.03,0.04,25.0,34.0,0.96,0.97,0.02,0.0,202.0,202.0,159.0,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.0,2026-08-21T14:00:01.919412Z,2026-08-23T14:00:00Z,True
KXHIGHTATL-26AUG22-B95.5,active,,0.16,0.18,5.0,2.0,0.82,0.84,0.16,0.0,205.07,205.07,170.17,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.0,2026-08-21T14:00:01.919412Z,2026-08-23T14:00:00Z,True
KXHIGHTATL-26AUG22-B93.5,active,,0.49,0.5,4.0,1.92,0.5,0.51,0.5,0.0,307.98,307.98,276.01,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.0,2026-08-21T14:00:01.919412Z,2026-08-23T14:00:00Z,True
KXHIGHTATL-26AUG22-B91.5,active,,0.23,0.24,0.15,25.0,0.76,0.77,0.3,0.0,331.19,331.19,331.19,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.0,2026-08-21T14:00:01.919412Z,2026-08-23T14:00:00Z,True
KXHIGHTATL-26AUG22-B89.5,active,,0.04,0.06,86.0,7.0,0.94,0.96,0.05,0.0,106.0,106.0,98.0,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.0,2026-08-21T14:00:01.919412Z,2026-08-23T14:00:00Z,True
KXHIGHTATL-26AUG21-T98,active,,0.0,0.01,0.0,12531.07,0.99,1.0,0.01,0.01,811.0,118.0,711.0,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.0,0.01,2026-08-20T14:00:17.210122Z,2026-08-22T14:00:00Z,True
KXHIGHTATL-26AUG21-T91,active,,0.0,0.01,0.0,119957.32,0.99,1.0,0.01,0.25,5550.37,5064.91,4126.0,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.24,0.25,2026-08-20T14:00:17.210122Z,2026-08-22T14:00:00Z,True
KXHIGHTATL-26AUG21-B97.5,active,,0.0,0.01,0.0,12114.07,0.99,1.0,0.02,0.02,1028.93,651.58,898.7,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.02,0.05,2026-08-20T14:00:17.210122Z,2026-08-22T14:00:00Z,True
KXHIGHTATL-26AUG21-B95.5,active,,0.0,0.01,0.0,14983.0,0.99,1.0,0.01,0.16,7795.51,7347.56,3801.55,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.16,0.17,2026-08-20T14:00:17.210122Z,2026-08-22T14:00:00Z,True
KXHIGHTATL-26AUG21-B93.5,active,,0.99,1.0,17873.15,0.0,0.0,0.01,0.99,0.2,6855.84,6412.89,4393.25,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.2,0.27,2026-08-20T14:00:17.210122Z,2026-08-22T14:00:00Z,True
KXHIGHTATL-26AUG21-B91.5,active,,0.0,0.01,0.0,97804.64,0.99,1.0,0.01,0.28,8672.94,8276.45,5911.45,0.0,2026-08-22T02:01:57.197598+00:00,,,,,0.28,0.33,2026-08-20T14:00:17.210122Z,2026-08-22T14:00:00Z,True
