ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early,fetched_at_utc
KXHIGHTATL-26SEP05-T93,active,,0.0,0.01,0.0,25.02,0.99,1.0,0.01,0.0,2136.02,2136.02,1142.72,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP05-T100,active,,0.01,0.02,174.92,5.0,0.98,0.99,0.03,0.0,854.78,854.78,766.41,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP05-B99.5,active,,0.19,0.21,21.0,4.74,0.79,0.81,0.23,0.0,2831.27,2831.27,1911.5,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP05-B97.5,active,,0.61,0.64,35.0,15.0,0.36,0.39,0.64,0.0,1051.94,1047.94,919.86,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP05-B95.5,active,,0.15,0.17,24.0,10.0,0.83,0.85,0.15,0.0,1351.75,1350.75,1026.11,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP05-B93.5,active,,0.03,0.04,257.0,40.0,0.96,0.97,0.03,0.0,478.63,478.63,412.56,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP04-T99,active,,0.0,0.01,0.0,18712.95,0.99,1.0,0.01,0.01,515.44,235.51,515.44,0.0,,,,,0.0,0.01,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP04-T92,active,,0.0,0.01,0.0,89380.14,0.99,1.0,0.01,0.03,2653.0,2103.89,2200.61,0.0,,,,,0.04,0.05,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP04-B98.5,active,,0.0,0.01,0.0,12264.55,0.99,1.0,0.01,0.05,1717.21,1495.96,1372.25,0.0,,,,,0.04,0.08,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP04-B96.5,active,,0.0,0.01,0.0,12457.38,0.99,1.0,0.01,0.28,6905.07,5544.73,4607.45,0.0,,,,,0.26,0.29,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP04-B94.5,active,,0.99,1.0,13074.0,0.0,0.0,0.01,0.99,0.51,6078.2,5367.21,4038.56,0.0,,,,,0.52,0.6,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP04-B92.5,active,,0.0,0.01,0.0,88520.43,0.99,1.0,0.01,0.11,10045.88,9785.06,7478.24,0.0,,,,,0.11,0.12,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP03-T93,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,2990.69,0.0,2878.86,0.0,96.00,96.0,2026-09-04T11:13:15.484656Z,0.0,0.0,0.01,2026-09-04T11:13:15.523997Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP03-T100,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,1193.41,0.0,1192.41,0.0,96.00,96.0,2026-09-04T11:13:15.484656Z,0.0,0.0,0.01,2026-09-04T11:13:15.523997Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP03-B99.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4375.17,0.0,3531.79,0.0,96.00,96.0,2026-09-04T11:13:15.484656Z,0.0,0.0,0.01,2026-09-04T11:13:15.523997Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP03-B97.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,18544.83,0.0,7648.55,0.0,96.00,96.0,2026-09-04T11:13:15.484656Z,0.0,0.0,0.01,2026-09-04T11:13:15.523997Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTATL-26SEP03-B95.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,18824.6,32.88,7061.39,0.0,96.00,96.0,2026-09-04T11:13:15.484656Z,1.0,0.99,1.0,2026-09-04T11:13:15.523997Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
