ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHAUS-26AUG07-T95,active,,0.0,0.01,0.0,3.01,0.99,1.0,0.01,0.0,1076.54,1076.54,1076.54,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.0,2026-08-06T14:00:01.078314Z,2026-08-07T14:00:00Z,True
KXHIGHAUS-26AUG07-T102,active,,0.0,0.01,0.0,79.0,0.99,1.0,0.01,0.0,545.0,545.0,545.0,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.0,2026-08-06T14:00:01.078314Z,2026-08-07T14:00:00Z,True
KXHIGHAUS-26AUG07-B99.5,active,,0.5,0.51,31.72,29.0,0.49,0.5,0.51,0.0,877.08,873.08,709.81,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.0,2026-08-06T14:00:01.078314Z,2026-08-07T14:00:00Z,True
KXHIGHAUS-26AUG07-B97.5,active,,0.31,0.32,126.0,101.54,0.68,0.69,0.29,0.0,765.58,765.58,378.86,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.0,2026-08-06T14:00:01.078314Z,2026-08-07T14:00:00Z,True
KXHIGHAUS-26AUG07-B95.5,active,,0.03,0.04,576.0,209.45,0.96,0.97,0.04,0.0,86.09,86.09,86.09,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.0,2026-08-06T14:00:01.078314Z,2026-08-07T14:00:00Z,True
KXHIGHAUS-26AUG07-B101.5,active,,0.14,0.15,100.0,65.81,0.85,0.86,0.14,0.0,400.77,400.77,286.77,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.0,2026-08-06T14:00:01.078314Z,2026-08-07T14:00:00Z,True
KXHIGHAUS-26AUG06-T96,active,,0.0,0.01,0.0,176454.65,0.99,1.0,0.01,0.01,1547.23,1086.4,1487.23,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.01,0.02,2026-08-05T14:00:04.026899Z,2026-08-06T14:00:00Z,True
KXHIGHAUS-26AUG06-T103,active,,0.0,0.01,0.0,10190.91,0.99,1.0,0.01,0.01,1585.09,1087.3,1310.18,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.0,0.01,2026-08-05T14:00:04.026899Z,2026-08-06T14:00:00Z,True
KXHIGHAUS-26AUG06-B98.5,active,,0.0,0.01,0.0,183448.47,0.99,1.0,0.01,0.42,10625.82,10056.78,6681.16,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.4,0.41,2026-08-05T14:00:04.026899Z,2026-08-06T14:00:00Z,True
KXHIGHAUS-26AUG06-B96.5,active,,0.0,0.01,0.0,150089.16,0.99,1.0,0.01,0.06,3369.41,3100.62,2380.46,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.06,0.07,2026-08-05T14:00:04.026899Z,2026-08-06T14:00:00Z,True
KXHIGHAUS-26AUG06-B102.5,active,,0.0,0.01,0.0,11989.0,0.99,1.0,0.01,0.05,8801.55,8455.11,5247.7,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.04,0.05,2026-08-05T14:00:04.026899Z,2026-08-06T14:00:00Z,True
KXHIGHAUS-26AUG06-B100.5,active,,0.99,1.0,17833.17,0.0,0.0,0.01,0.99,0.52,17162.12,15833.36,10829.18,0.0,2026-08-07T00:20:31.368288+00:00,,,,,0.51,0.52,2026-08-05T14:00:04.026899Z,2026-08-06T14:00:00Z,True
KXHIGHAUS-26AUG05-T96,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,2537.32,1.0,2533.32,0.0,2026-08-07T00:20:31.368288+00:00,100.00,100.0,2026-08-06T12:01:11.767231Z,0.0,0.0,0.01,2026-08-06T12:01:11.804414Z,2026-08-05T14:00:00Z,True
