ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early,fetched_at_utc
KXHIGHAUS-26SEP04-T93,active,,0.36,0.37,3.91,60.0,0.63,0.64,0.36,0.0,1773.05,1767.05,1404.82,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.287247Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP04-T100,active,,0.0,0.01,0.0,155.0,0.99,1.0,0.02,0.0,1596.75,1596.75,1334.75,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.287247Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP04-B99.5,active,,0.03,0.04,323.0,4.0,0.96,0.97,0.04,0.0,775.48,775.48,750.06,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.287247Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP04-B97.5,active,,0.2,0.23,66.0,4.0,0.77,0.8,0.24,0.0,2065.71,2065.71,1758.86,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.287247Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP04-B95.5,active,,0.25,0.3,1.0,24.0,0.7,0.75,0.29,0.0,1148.7,1148.7,1041.45,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.287247Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP04-B93.5,active,,0.17,0.19,12.0,4.0,0.81,0.83,0.2,0.0,928.16,928.16,787.28,0.0,,,,,0.0,0.0,2026-09-03T14:00:01.287247Z,2026-09-05T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP03-T95,active,,0.0,0.01,0.0,33956.0,0.99,1.0,0.01,0.01,2219.23,680.02,2218.23,0.0,,,,,0.0,0.01,2026-09-02T14:00:01.272284Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP03-T102,active,,0.0,0.01,0.0,12509.8,0.99,1.0,0.01,0.08,16597.31,15581.76,14372.05,0.0,,,,,0.07,0.09,2026-09-02T14:00:01.272284Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP03-B99.5,active,,0.99,1.0,2855.85,0.0,0.0,0.01,0.99,0.37,19214.51,18604.29,11068.0,0.0,,,,,0.35,0.37,2026-09-02T14:00:01.272284Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP03-B97.5,active,,0.0,0.01,0.0,43791.35,0.99,1.0,0.01,0.08,8682.92,8370.8,6955.57,0.0,,,,,0.08,0.09,2026-09-02T14:00:01.272284Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP03-B95.5,active,,0.0,0.01,0.0,36369.29,0.99,1.0,0.01,0.03,4647.98,4606.07,4219.62,0.0,,,,,0.03,0.04,2026-09-02T14:00:01.272284Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP03-B101.5,active,,0.0,0.01,0.0,7158.3,0.99,1.0,0.01,0.5,15121.83,14356.35,7831.12,0.0,,,,,0.5,0.51,2026-09-02T14:00:01.272284Z,2026-09-04T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP02-T96,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,2268.1,0.0,2021.56,0.0,101.00,101.0,2026-09-03T12:19:25.038635Z,0.0,0.0,0.01,2026-09-03T12:19:25.06219Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP02-T103,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,6406.86,0.0,5423.78,0.0,101.00,101.0,2026-09-03T12:19:25.038635Z,0.0,0.0,0.01,2026-09-03T12:19:25.06219Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP02-B98.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,25004.93,280.55,15183.51,0.0,101.00,101.0,2026-09-03T12:19:25.038635Z,0.0,0.0,0.01,2026-09-03T12:19:25.06219Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP02-B96.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,5928.63,0.0,3695.25,0.0,101.00,101.0,2026-09-03T12:19:25.038635Z,0.0,0.0,0.01,2026-09-03T12:19:25.06219Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP02-B102.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,22106.8,280.55,12452.23,0.0,101.00,101.0,2026-09-03T12:19:25.038635Z,0.0,0.0,0.01,2026-09-03T12:19:25.06219Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP02-B100.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,22392.98,4.0,11063.32,0.0,101.00,101.0,2026-09-03T12:19:25.038635Z,1.0,0.99,1.0,2026-09-03T12:19:25.06219Z,2026-09-03T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP01-T96,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4064.61,0.0,3811.72,0.0,101.00,101.0,2026-09-02T12:19:21.097494Z,0.0,0.0,1.0,2026-09-02T12:19:21.12668Z,2026-09-02T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP01-T103,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,922.03,0.0,922.03,0.0,101.00,101.0,2026-09-02T12:19:21.097494Z,0.0,0.0,1.0,2026-09-02T12:19:21.12668Z,2026-09-02T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
KXHIGHAUS-26SEP01-B98.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,9883.63,0.0,6356.96,0.0,101.00,101.0,2026-09-02T12:19:21.097494Z,0.0,0.0,1.0,2026-09-02T12:19:21.12668Z,2026-09-02T14:00:00Z,True,2026-09-04T04:35:36.983197+00:00
