ticker,event_ticker,title,status,result,floor_strike,cap_strike,strike_type,yes_sub_title,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,open_time,close_time,expiration_time,rules_primary,rules_secondary,fetched_at_utc,city,series_ticker,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,no_sub_title,market_type,created_time,updated_time,expected_expiration_time,latest_expiration_time,occurrence_datetime,notional_value,price_ranges,price_level_structure,can_close_early,early_close_condition,settlement_timer_seconds,exchange_index
KXHIGHTHOU-26AUG04-T95,KXHIGHTHOU-26AUG04,"Will the maximum temperature be <95° on Aug 4, 2026?",active,,,95.0,less,94° or below,0.1,0.12,0.01,16.01,0.88,0.9,0.16,0.0,398.79,398.79,397.26,0.0,2026-08-03T14:00:00Z,2026-08-05T06:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 4, 2026, is less than 95° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG04-T102,KXHIGHTHOU-26AUG04,"Will the maximum temperature be >102° on Aug 4, 2026?",active,,102.0,,greater,103° or above,0.0,0.01,0.0,495.54,0.99,1.0,0.01,0.0,201.03,201.03,201.03,0.0,2026-08-03T14:00:00Z,2026-08-05T06:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 4, 2026, is greater than 102° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG04-B99.5,KXHIGHTHOU-26AUG04,"Will the maximum temperature be 99-100° on Aug 4, 2026?",active,,99.0,100.0,between,99° to 100°,0.1,0.11,5.0,71.11,0.89,0.9,0.11,0.0,947.35,947.35,825.55,0.0,2026-08-03T14:00:00Z,2026-08-05T06:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 4, 2026, is between 99-100° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG04-B97.5,KXHIGHTHOU-26AUG04,"Will the maximum temperature be 97-98° on Aug 4, 2026?",active,,97.0,98.0,between,97° to 98°,0.4,0.41,104.0,104.39,0.59,0.6,0.43,0.0,707.86,707.86,638.81,0.0,2026-08-03T14:00:00Z,2026-08-05T06:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 4, 2026, is between 97-98° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG04-B95.5,KXHIGHTHOU-26AUG04,"Will the maximum temperature be 95-96° on Aug 4, 2026?",active,,95.0,96.0,between,95° to 96°,0.39,0.4,110.81,15.95,0.6,0.61,0.39,0.0,558.59,558.59,478.38,0.0,2026-08-03T14:00:00Z,2026-08-05T06:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 4, 2026, is between 95-96° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG04-B101.5,KXHIGHTHOU-26AUG04,"Will the maximum temperature be 101-102° on Aug 4, 2026?",active,,101.0,102.0,between,101° to 102°,0.0,0.02,0.0,436.54,0.98,1.0,0.02,0.0,254.46,254.46,254.46,0.0,2026-08-03T14:00:00Z,2026-08-05T06:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 4, 2026, is between 101-102° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG03-T97,KXHIGHTHOU-26AUG03,"Will the maximum temperature be <97° on Aug 3, 2026?",active,,,97.0,less,96° or below,0.0,0.01,0.0,146248.23,0.99,1.0,0.01,0.23,17421.01,15280.0,10842.27,0.0,2026-08-02T14:00:00Z,2026-08-04T06:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 3, 2026, is less than 97° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG03-T104,KXHIGHTHOU-26AUG03,"Will the maximum temperature be >104° on Aug 3, 2026?",active,,104.0,,greater,105° or above,0.0,0.01,0.0,18891.62,0.99,1.0,0.01,0.02,343.0,113.0,342.0,0.0,2026-08-02T14:00:00Z,2026-08-04T06:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 3, 2026, is greater than 104° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG03-B99.5,KXHIGHTHOU-26AUG03,"Will the maximum temperature be 99-100° on Aug 3, 2026?",active,,99.0,100.0,between,99° to 100°,0.01,0.02,261.13,1.61,0.98,0.99,0.01,0.27,7142.11,6534.85,4848.34,0.0,2026-08-02T14:00:00Z,2026-08-04T06:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 3, 2026, is between 99-100° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
KXHIGHTHOU-26AUG03-B97.5,KXHIGHTHOU-26AUG03,"Will the maximum temperature be 97-98° on Aug 3, 2026?",active,,97.0,98.0,between,97° to 98°,0.94,0.98,6.0,210.75,0.02,0.06,0.94,0.51,14696.11,13638.99,10939.92,0.0,2026-08-02T14:00:00Z,2026-08-04T06:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Houston for Aug 3, 2026, is between 97-98° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLIHOU can be found by clicking the following URL: https://www.weather.gov/wrh/Climate?wfo=hgx, navigating to the ""Observed Weather"" tab, and choosing the location ""Houston-Hobby, TX"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Houston,KXHIGHTHOU,,,,,,,,,,,,,,,,,,,,
