ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHTHOU-26AUG17-T95,active,,0.01,0.02,513.54,106.0,0.98,0.99,0.05,0.0,929.64,929.64,876.46,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTHOU-26AUG17-T102,active,,0.0,0.01,0.0,624.45,0.99,1.0,0.01,0.0,234.0,234.0,234.0,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTHOU-26AUG17-B99.5,active,,0.17,0.2,17.0,122.0,0.8,0.83,0.2,0.0,887.91,887.91,838.46,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTHOU-26AUG17-B97.5,active,,0.45,0.48,15.04,14.0,0.52,0.55,0.46,0.0,1142.48,1142.48,1022.02,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTHOU-26AUG17-B95.5,active,,0.35,0.37,15.0,23.39,0.63,0.65,0.36,0.0,3545.79,3545.79,3012.78,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTHOU-26AUG17-B101.5,active,,0.01,0.02,165.56,120.02,0.98,0.99,0.01,0.0,216.44,216.44,216.44,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTHOU-26AUG16-T94,active,,0.0,0.01,0.0,149070.24,0.99,1.0,0.01,0.02,5503.4,4819.1,5468.1,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.01,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTHOU-26AUG16-T101,active,,0.0,0.01,0.0,13247.36,0.99,1.0,0.01,0.01,5170.9,4960.9,5170.9,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.01,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTHOU-26AUG16-B98.5,active,,0.0,0.01,0.0,11289.63,0.99,1.0,0.01,0.29,10364.47,8309.97,5710.62,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.27,0.31,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTHOU-26AUG16-B96.5,active,,0.0,0.01,0.0,4933.43,0.99,1.0,0.01,0.61,19732.93,18897.46,11215.34,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.56,0.61,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTHOU-26AUG16-B94.5,active,,0.99,1.0,5387.9,0.0,0.0,0.01,0.99,0.13,19842.8,19527.69,12057.08,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.12,0.13,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTHOU-26AUG16-B100.5,active,,0.0,0.01,0.0,16189.79,0.99,1.0,0.01,0.03,3599.32,3173.74,2972.8,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.03,0.04,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTHOU-26AUG15-T93,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,1247.0,0.0,1247.0,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-16T17:15:02.601159Z,0.0,0.0,0.01,2026-08-16T17:15:02.628127Z,2026-08-16T14:41:46Z,True
KXHIGHTHOU-26AUG15-T100,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,848.1,0.0,794.1,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-16T17:15:02.601159Z,0.0,0.0,0.01,2026-08-16T17:15:02.628127Z,2026-08-16T14:41:46Z,True
KXHIGHTHOU-26AUG15-B99.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4693.72,343.0,3163.35,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-16T17:15:02.601159Z,0.0,0.0,0.01,2026-08-16T17:15:02.628127Z,2026-08-16T14:41:46Z,True
KXHIGHTHOU-26AUG15-B97.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,14498.44,139.01,8098.85,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-16T17:15:02.601159Z,0.0,0.0,0.01,2026-08-16T17:15:02.628127Z,2026-08-16T14:41:46Z,True
KXHIGHTHOU-26AUG15-B95.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,14895.37,0.0,6416.21,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-16T17:15:02.601159Z,1.0,0.99,1.0,2026-08-16T17:15:02.628127Z,2026-08-16T14:41:46Z,True
KXHIGHTHOU-26AUG15-B93.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,861.44,93.0,708.44,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-16T17:15:02.601159Z,0.0,0.0,0.01,2026-08-16T17:15:02.628127Z,2026-08-16T14:41:46Z,True
KXHIGHTHOU-26AUG14-T93,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,2794.26,0.0,1558.94,0.0,2026-08-17T02:02:03.375439+00:00,95.00,95.0,2026-08-15T17:19:12.347643Z,0.0,0.0,1.0,2026-08-15T17:19:12.368695Z,2026-08-15T17:15:10Z,True
KXHIGHTHOU-26AUG14-T100,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,318.12,0.0,318.12,0.0,2026-08-17T02:02:03.375439+00:00,95.00,95.0,2026-08-15T17:19:12.347643Z,0.0,0.0,1.0,2026-08-15T17:19:12.368695Z,2026-08-15T17:15:10Z,True
KXHIGHTHOU-26AUG14-B99.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,1139.47,0.0,815.66,0.0,2026-08-17T02:02:03.375439+00:00,95.00,95.0,2026-08-15T17:19:12.347643Z,0.0,0.0,1.0,2026-08-15T17:19:12.368695Z,2026-08-15T17:15:10Z,True
KXHIGHTHOU-26AUG14-B97.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,3956.62,0.0,3122.89,0.0,2026-08-17T02:02:03.375439+00:00,95.00,95.0,2026-08-15T17:19:12.347643Z,0.0,0.0,1.0,2026-08-15T17:19:12.368695Z,2026-08-15T17:15:10Z,True
KXHIGHTHOU-26AUG14-B95.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,10388.39,0.0,6608.18,0.0,2026-08-17T02:02:03.375439+00:00,95.00,95.0,2026-08-15T17:19:12.347643Z,1.0,0.0,1.0,2026-08-15T17:19:12.368695Z,2026-08-15T17:15:10Z,True
KXHIGHTHOU-26AUG14-B93.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,18233.12,0.0,12675.06,0.0,2026-08-17T02:02:03.375439+00:00,95.00,95.0,2026-08-15T17:19:12.347643Z,0.0,0.0,1.0,2026-08-15T17:19:12.368695Z,2026-08-15T17:15:10Z,True
KXHIGHTHOU-26AUG13-T93,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,1022.78,0.0,986.27,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-14T11:13:04.398528Z,0.0,0.0,1.0,2026-08-14T11:13:04.422764Z,2026-08-14T14:00:00Z,True
KXHIGHTHOU-26AUG13-T100,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,371.25,0.0,316.23,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-14T11:13:04.398528Z,0.0,0.0,1.0,2026-08-14T11:13:04.422764Z,2026-08-14T14:00:00Z,True
KXHIGHTHOU-26AUG13-B99.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.03,0.03,2376.55,0.0,1900.41,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-14T11:13:04.398528Z,0.0,0.0,1.0,2026-08-14T11:13:04.422764Z,2026-08-14T14:00:00Z,True
KXHIGHTHOU-26AUG13-B97.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,14607.35,0.0,8368.02,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-14T11:13:04.398528Z,0.0,0.0,1.0,2026-08-14T11:13:04.422764Z,2026-08-14T14:00:00Z,True
KXHIGHTHOU-26AUG13-B95.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,18849.22,0.0,10979.87,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-14T11:13:04.398528Z,1.0,0.0,1.0,2026-08-14T11:13:04.422764Z,2026-08-14T14:00:00Z,True
KXHIGHTHOU-26AUG13-B93.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,3686.28,0.0,3067.63,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-14T11:13:04.398528Z,0.0,0.0,1.0,2026-08-14T11:13:04.422764Z,2026-08-14T14:00:00Z,True
KXHIGHTHOU-26AUG12-T94,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,7465.38,0.0,5989.97,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-13T11:13:04.398428Z,0.0,0.0,1.0,2026-08-13T11:13:04.44728Z,2026-08-13T14:00:00Z,True
KXHIGHTHOU-26AUG12-T101,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,582.51,0.0,574.51,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-13T11:13:04.398428Z,0.0,0.0,1.0,2026-08-13T11:13:04.44728Z,2026-08-13T14:00:00Z,True
KXHIGHTHOU-26AUG12-B98.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,3772.21,0.0,1964.22,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-13T11:13:04.398428Z,0.0,0.0,1.0,2026-08-13T11:13:04.44728Z,2026-08-13T14:00:00Z,True
KXHIGHTHOU-26AUG12-B96.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,15704.18,0.0,8504.47,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-13T11:13:04.398428Z,1.0,0.0,1.0,2026-08-13T11:13:04.44728Z,2026-08-13T14:00:00Z,True
KXHIGHTHOU-26AUG12-B94.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,23884.75,0.0,15459.3,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-13T11:13:04.398428Z,0.0,0.0,1.0,2026-08-13T11:13:04.44728Z,2026-08-13T14:00:00Z,True
KXHIGHTHOU-26AUG12-B100.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,484.0,0.0,484.0,0.0,2026-08-17T02:02:03.375439+00:00,96.00,96.0,2026-08-13T11:13:04.398428Z,0.0,0.0,1.0,2026-08-13T11:13:04.44728Z,2026-08-13T14:00:00Z,True
KXHIGHTHOU-26AUG11-T99,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,297.0,0.0,296.0,0.0,2026-08-17T02:02:03.375439+00:00,93.00,93.0,2026-08-12T11:06:49.135964Z,0.0,0.0,1.0,2026-08-12T11:06:49.176119Z,2026-08-12T14:00:00Z,True
KXHIGHTHOU-26AUG11-T92,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4905.46,0.0,3630.66,0.0,2026-08-17T02:02:03.375439+00:00,93.00,93.0,2026-08-12T11:06:49.135964Z,0.0,0.0,1.0,2026-08-12T11:06:49.176119Z,2026-08-12T14:00:00Z,True
