ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early,fetched_at_utc
KXHIGHTHOU-26SEP05-T93,active,,0.3,0.31,22.01,55.0,0.69,0.7,0.3,0.0,1851.87,1843.87,1841.85,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP05-T86,active,,0.01,0.02,261.1,31.0,0.98,0.99,0.02,0.0,651.07,651.07,591.72,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP05-B92.5,active,,0.32,0.33,7.36,4.0,0.67,0.68,0.34,0.0,681.29,681.29,609.59,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP05-B90.5,active,,0.27,0.28,78.94,2.0,0.72,0.73,0.27,0.0,851.94,851.94,756.65,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP05-B88.5,active,,0.1,0.11,2.21,4.99,0.89,0.9,0.11,0.0,444.8,444.8,252.03,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP05-B86.5,active,,0.02,0.03,344.86,16.0,0.97,0.98,0.03,0.0,440.24,440.24,351.24,0.0,,,,,0.0,0.0,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP04-T96,active,,0.0,0.01,0.0,17469.64,0.99,1.0,0.01,0.02,796.21,481.38,793.21,0.0,,,,,0.0,0.02,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP04-T89,active,,0.0,0.01,0.0,60199.35,0.99,1.0,0.01,0.08,7727.0,7189.47,4963.23,0.0,,,,,0.07,0.09,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP04-B95.5,active,,0.0,0.01,0.0,24498.0,0.99,1.0,0.01,0.07,3659.79,3527.03,2907.82,0.0,,,,,0.07,0.08,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP04-B93.5,active,,0.99,1.0,24490.99,0.0,0.0,0.01,0.99,0.37,13361.91,11227.31,6692.87,0.0,,,,,0.37,0.39,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP04-B91.5,active,,0.0,0.01,0.0,59628.05,0.99,1.0,0.01,0.3,10342.54,9636.32,7464.51,0.0,,,,,0.27,0.31,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP04-B89.5,active,,0.0,0.01,0.0,59959.34,0.99,1.0,0.01,0.19,8905.4,8354.57,5052.94,0.0,,,,,0.16,0.18,2026-09-03T14:00:01.360783Z,2026-09-05T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP03-T95,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,6565.63,95.0,5993.29,0.0,93.00,93.0,2026-09-04T12:12:55.486605Z,0.0,0.0,0.01,2026-09-04T12:12:55.520529Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP03-T88,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4234.67,0.0,2990.97,0.0,93.00,93.0,2026-09-04T12:12:55.486605Z,0.0,0.0,0.01,2026-09-04T12:12:55.520529Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP03-B94.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,7040.06,0.0,4014.56,0.0,93.00,93.0,2026-09-04T12:12:55.486605Z,0.0,0.0,0.01,2026-09-04T12:12:55.520529Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP03-B92.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,8948.97,0.0,5799.53,0.0,93.00,93.0,2026-09-04T12:12:55.486605Z,1.0,0.99,1.0,2026-09-04T12:12:55.520529Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP03-B90.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,8176.73,0.0,6113.72,0.0,93.00,93.0,2026-09-04T12:12:55.486605Z,0.0,0.0,0.01,2026-09-04T12:12:55.520529Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP03-B88.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,15827.73,33.0,14587.0,0.0,93.00,93.0,2026-09-04T12:12:55.486605Z,0.0,0.0,0.01,2026-09-04T12:12:55.520529Z,2026-09-04T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP02-T96,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,19294.53,0.0,12640.48,0.0,96.00,96.0,2026-09-03T12:12:45.03777Z,0.0,0.0,1.0,2026-09-03T12:12:45.066365Z,2026-09-03T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP02-T89,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,6520.4,0.0,5191.32,0.0,96.00,96.0,2026-09-03T12:12:45.03777Z,0.0,0.0,1.0,2026-09-03T12:12:45.066365Z,2026-09-03T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP02-B95.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,14579.83,0.0,9807.85,0.0,96.00,96.0,2026-09-03T12:12:45.03777Z,1.0,0.0,1.0,2026-09-03T12:12:45.066365Z,2026-09-03T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP02-B93.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,14770.55,0.0,7788.03,0.0,96.00,96.0,2026-09-03T12:12:45.03777Z,0.0,0.0,1.0,2026-09-03T12:12:45.066365Z,2026-09-03T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
KXHIGHTHOU-26SEP02-B91.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,7197.87,0.0,4053.44,0.0,96.00,96.0,2026-09-03T12:12:45.03777Z,0.0,0.0,1.0,2026-09-03T12:12:45.066365Z,2026-09-03T14:00:00Z,True,2026-09-05T04:31:13.129839+00:00
