ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHLAX-26AUG15-T81,active,,0.0,0.01,0.0,210111.84,0.99,1.0,0.01,0.0,7807.16,7807.16,7807.16,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.0,2026-08-14T14:40:47.262466Z,2026-08-16T14:40:47Z,True
KXHIGHLAX-26AUG15-T74,active,,0.0,0.01,0.0,31486.97,0.99,1.0,0.01,0.0,3919.03,3919.03,3665.03,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.0,2026-08-14T14:40:47.262466Z,2026-08-16T14:40:47Z,True
KXHIGHLAX-26AUG15-B80.5,active,,0.04,0.05,544.5,404.23,0.95,0.96,0.05,0.0,6793.13,6793.13,5365.29,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.0,2026-08-14T14:40:47.262466Z,2026-08-16T14:40:47Z,True
KXHIGHLAX-26AUG15-B78.5,active,,0.4,0.41,50.0,6.0,0.59,0.6,0.42,0.0,3543.95,3428.21,3112.66,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.0,2026-08-14T14:40:47.262466Z,2026-08-16T14:40:47Z,True
KXHIGHLAX-26AUG15-B76.5,active,,0.51,0.52,9.0,32.0,0.48,0.49,0.51,0.0,4471.75,4326.75,2926.96,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.0,2026-08-14T14:40:47.262466Z,2026-08-16T14:40:47Z,True
KXHIGHLAX-26AUG15-B74.5,active,,0.03,0.04,376.0,122.0,0.96,0.97,0.04,0.0,9269.08,9269.08,8133.03,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.0,2026-08-14T14:40:47.262466Z,2026-08-16T14:40:47Z,True
KXHIGHLAX-26AUG14-T78,active,,0.0,0.01,0.0,215564.78,0.99,1.0,0.01,0.08,180744.28,172944.88,79318.16,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.07,0.08,2026-08-14T15:28:25.769359Z,2026-08-15T17:13:56Z,True
KXHIGHLAX-26AUG14-T71,active,,0.0,0.01,0.0,232373.48,0.99,1.0,0.01,0.01,928.0,2.0,928.0,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.01,2026-08-14T15:28:25.745389Z,2026-08-15T17:13:56Z,True
KXHIGHLAX-26AUG14-B77.5,active,,0.99,1.0,150484.38,0.0,0.0,0.01,0.99,0.49,118649.39,113272.67,36135.04,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.48,0.49,2026-08-14T15:28:25.763702Z,2026-08-15T17:13:56Z,True
KXHIGHLAX-26AUG14-B75.5,active,,0.0,0.01,0.0,131210.64,0.99,1.0,0.01,0.4,59990.04,57361.79,40638.12,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.41,0.43,2026-08-14T15:28:25.757669Z,2026-08-15T17:13:56Z,True
KXHIGHLAX-26AUG14-B73.5,active,,0.0,0.01,0.0,142998.26,0.99,1.0,0.01,0.02,10193.42,6818.06,9773.93,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.01,0.02,2026-08-14T15:28:25.753298Z,2026-08-15T17:13:56Z,True
KXHIGHLAX-26AUG14-B71.5,active,,0.0,0.01,0.0,138233.94,0.99,1.0,0.01,0.01,3849.07,1053.65,3849.07,0.0,2026-08-15T01:57:04.526178+00:00,,,,,0.0,0.01,2026-08-14T15:28:25.749308Z,2026-08-15T17:13:56Z,True
KXHIGHLAX-26AUG13-T77,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,194697.99,32701.65,87641.33,0.0,2026-08-15T01:57:04.526178+00:00,77.00,77.0,2026-08-14T11:36:04.407257Z,0.0,0.0,0.01,2026-08-14T11:36:04.456281Z,2026-08-13T14:00:00Z,True
KXHIGHLAX-26AUG13-T70,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,1161.9,126.0,1161.9,0.0,2026-08-15T01:57:04.526178+00:00,77.00,77.0,2026-08-14T11:36:04.407257Z,0.0,0.0,0.01,2026-08-14T11:36:04.456281Z,2026-08-13T14:00:00Z,True
KXHIGHLAX-26AUG13-B76.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,84438.45,6596.39,36844.48,0.0,2026-08-15T01:57:04.526178+00:00,77.00,77.0,2026-08-14T11:36:04.407257Z,1.0,0.99,1.0,2026-08-14T11:36:04.456281Z,2026-08-13T14:00:00Z,True
