ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHMIA-26AUG24-T95,active,,0.01,0.02,922.0,35.0,0.98,0.99,0.03,0.0,90.46,90.46,90.46,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.0,0.0,2026-08-23T14:00:02.877435Z,2026-08-25T14:00:00Z,True
KXHIGHMIA-26AUG24-T88,active,,0.0,0.01,0.0,158.0,0.99,1.0,0.01,0.0,842.72,842.72,807.72,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.0,0.0,2026-08-23T14:00:02.877435Z,2026-08-25T14:00:00Z,True
KXHIGHMIA-26AUG24-B94.5,active,,0.17,0.2,8.0,138.0,0.8,0.83,0.17,0.0,1319.62,1319.62,1204.54,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.0,0.0,2026-08-23T14:00:02.877435Z,2026-08-25T14:00:00Z,True
KXHIGHMIA-26AUG24-B92.5,active,,0.62,0.64,1.0,48.0,0.36,0.38,0.65,0.0,1591.28,1591.28,1351.31,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.0,0.0,2026-08-23T14:00:02.877435Z,2026-08-25T14:00:00Z,True
KXHIGHMIA-26AUG24-B90.5,active,,0.15,0.16,16.0,59.0,0.84,0.85,0.16,0.0,1421.47,1421.47,1238.36,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.0,0.0,2026-08-23T14:00:02.877435Z,2026-08-25T14:00:00Z,True
KXHIGHMIA-26AUG24-B88.5,active,,0.02,0.03,53.0,158.0,0.97,0.98,0.02,0.0,317.99,307.99,311.99,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.0,0.0,2026-08-23T14:00:02.877435Z,2026-08-25T14:00:00Z,True
KXHIGHMIA-26AUG23-T95,active,,0.0,0.01,0.0,12499.29,0.99,1.0,0.01,0.03,7265.67,7106.63,5804.07,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.03,0.04,2026-08-22T14:00:02.718195Z,2026-08-24T14:00:00Z,True
KXHIGHMIA-26AUG23-T88,active,,0.0,0.01,0.0,108044.82,0.99,1.0,0.01,0.01,6537.59,5527.18,6041.62,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.01,0.02,2026-08-22T14:00:02.718195Z,2026-08-24T14:00:00Z,True
KXHIGHMIA-26AUG23-B94.5,active,,0.0,0.01,0.0,25962.66,0.99,1.0,0.01,0.22,25632.2,24094.22,10248.15,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.21,0.22,2026-08-22T14:00:02.718195Z,2026-08-24T14:00:00Z,True
KXHIGHMIA-26AUG23-B92.5,active,,0.99,1.0,22983.52,0.0,0.0,0.01,0.99,0.52,32338.72,31521.86,19211.05,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.52,0.53,2026-08-22T14:00:02.718195Z,2026-08-24T14:00:00Z,True
KXHIGHMIA-26AUG23-B90.5,active,,0.0,0.01,0.0,137693.47,0.99,1.0,0.01,0.19,42222.26,41339.22,35752.78,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.17,0.18,2026-08-22T14:00:02.718195Z,2026-08-24T14:00:00Z,True
KXHIGHMIA-26AUG23-B88.5,active,,0.0,0.01,0.0,129216.52,0.99,1.0,0.01,0.03,8811.45,7941.69,7242.79,0.0,2026-08-24T02:13:02.880103+00:00,,,,,0.02,0.04,2026-08-22T14:00:02.718195Z,2026-08-24T14:00:00Z,True
KXHIGHMIA-26AUG22-T95,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,17234.68,299.0,10214.04,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-23T11:10:17.032898Z,0.0,0.0,0.01,2026-08-23T11:10:17.057505Z,2026-08-23T14:00:00Z,True
KXHIGHMIA-26AUG22-T88,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,3269.13,100.0,3264.13,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-23T11:10:17.032898Z,0.0,0.0,0.01,2026-08-23T11:10:17.057505Z,2026-08-23T14:00:00Z,True
KXHIGHMIA-26AUG22-B94.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,29009.01,508.84,12038.49,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-23T11:10:17.032898Z,1.0,0.99,1.0,2026-08-23T11:10:17.057505Z,2026-08-23T14:00:00Z,True
KXHIGHMIA-26AUG22-B92.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,50817.08,2289.0,34585.14,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-23T11:10:17.032898Z,0.0,0.0,0.01,2026-08-23T11:10:17.057505Z,2026-08-23T14:00:00Z,True
KXHIGHMIA-26AUG22-B90.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,17633.69,801.0,14312.47,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-23T11:10:17.032898Z,0.0,0.0,0.01,2026-08-23T11:10:17.057505Z,2026-08-23T14:00:00Z,True
KXHIGHMIA-26AUG22-B88.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,7237.69,1025.0,6488.21,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-23T11:10:17.032898Z,0.0,0.0,0.01,2026-08-23T11:10:17.057505Z,2026-08-23T14:00:00Z,True
KXHIGHMIA-26AUG21-T95,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,10959.39,0.0,9041.55,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-22T11:10:37.033656Z,0.0,0.0,1.0,2026-08-22T11:10:37.053686Z,2026-08-22T14:00:00Z,True
KXHIGHMIA-26AUG21-T88,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4983.41,0.0,4942.41,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-22T11:10:37.033656Z,0.0,0.0,1.0,2026-08-22T11:10:37.053686Z,2026-08-22T14:00:00Z,True
KXHIGHMIA-26AUG21-B94.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,99521.77,0.0,83433.55,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-22T11:10:37.033656Z,1.0,0.0,1.0,2026-08-22T11:10:37.053686Z,2026-08-22T14:00:00Z,True
KXHIGHMIA-26AUG21-B92.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,73436.08,0.0,56072.04,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-22T11:10:37.033656Z,0.0,0.0,1.0,2026-08-22T11:10:37.053686Z,2026-08-22T14:00:00Z,True
KXHIGHMIA-26AUG21-B90.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,28238.84,0.0,19863.02,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-22T11:10:37.033656Z,0.0,0.0,1.0,2026-08-22T11:10:37.053686Z,2026-08-22T14:00:00Z,True
KXHIGHMIA-26AUG21-B88.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,6899.47,0.0,6437.73,0.0,2026-08-24T02:13:02.880103+00:00,94.00,94.0,2026-08-22T11:10:37.033656Z,0.0,0.0,1.0,2026-08-22T11:10:37.053686Z,2026-08-22T14:00:00Z,True
KXHIGHMIA-26AUG20-T96,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,13090.65,0.0,10504.87,0.0,2026-08-24T02:13:02.880103+00:00,93.00,93.0,2026-08-21T11:20:07.032628Z,0.0,0.0,1.0,2026-08-21T11:20:07.070926Z,2026-08-21T14:00:00Z,True
KXHIGHMIA-26AUG20-T89,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,2601.45,0.0,2578.04,0.0,2026-08-24T02:13:02.880103+00:00,93.00,93.0,2026-08-21T11:20:07.032628Z,0.0,0.0,1.0,2026-08-21T11:20:07.070926Z,2026-08-21T14:00:00Z,True
KXHIGHMIA-26AUG20-B95.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,21949.31,0.0,10842.76,0.0,2026-08-24T02:13:02.880103+00:00,93.00,93.0,2026-08-21T11:20:07.032628Z,0.0,0.0,1.0,2026-08-21T11:20:07.070926Z,2026-08-21T14:00:00Z,True
KXHIGHMIA-26AUG20-B93.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,30432.84,0.0,14535.16,0.0,2026-08-24T02:13:02.880103+00:00,93.00,93.0,2026-08-21T11:20:07.032628Z,1.0,0.0,1.0,2026-08-21T11:20:07.070926Z,2026-08-21T14:00:00Z,True
KXHIGHMIA-26AUG20-B91.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,30356.73,0.0,25868.79,0.0,2026-08-24T02:13:02.880103+00:00,93.00,93.0,2026-08-21T11:20:07.032628Z,0.0,0.0,1.0,2026-08-21T11:20:07.070926Z,2026-08-21T14:00:00Z,True
KXHIGHMIA-26AUG20-B89.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,9355.92,0.0,7641.01,0.0,2026-08-24T02:13:02.880103+00:00,93.00,93.0,2026-08-21T11:20:07.032628Z,0.0,0.0,1.0,2026-08-21T11:20:07.070926Z,2026-08-21T14:00:00Z,True
KXHIGHMIA-26AUG19-T98,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,22072.51,0.0,14425.48,0.0,2026-08-24T02:13:02.880103+00:00,96.00,96.0,2026-08-20T11:20:07.086039Z,0.0,0.0,1.0,2026-08-20T11:20:07.114948Z,2026-08-20T14:00:00Z,True
KXHIGHMIA-26AUG19-T91,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,6253.33,0.0,6248.33,0.0,2026-08-24T02:13:02.880103+00:00,96.00,96.0,2026-08-20T11:20:07.086039Z,0.0,0.0,1.0,2026-08-20T11:20:07.114948Z,2026-08-20T14:00:00Z,True
KXHIGHMIA-26AUG19-B97.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,47310.8,0.0,21374.26,0.0,2026-08-24T02:13:02.880103+00:00,96.00,96.0,2026-08-20T11:20:07.086039Z,0.0,0.0,1.0,2026-08-20T11:20:07.114948Z,2026-08-20T14:00:00Z,True
KXHIGHMIA-26AUG19-B95.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,44990.12,0.0,20920.1,0.0,2026-08-24T02:13:02.880103+00:00,96.00,96.0,2026-08-20T11:20:07.086039Z,1.0,0.0,1.0,2026-08-20T11:20:07.114948Z,2026-08-20T14:00:00Z,True
KXHIGHMIA-26AUG19-B93.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,44466.73,0.0,35866.88,0.0,2026-08-24T02:13:02.880103+00:00,96.00,96.0,2026-08-20T11:20:07.086039Z,0.0,0.0,1.0,2026-08-20T11:20:07.114948Z,2026-08-20T14:00:00Z,True
KXHIGHMIA-26AUG19-B91.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,44972.43,0.0,42053.32,0.0,2026-08-24T02:13:02.880103+00:00,96.00,96.0,2026-08-20T11:20:07.086039Z,0.0,0.0,1.0,2026-08-20T11:20:07.114948Z,2026-08-20T14:00:00Z,True
KXHIGHMIA-26AUG18-T93,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,8032.0,0.0,7968.95,0.0,2026-08-24T02:13:02.880103+00:00,100.00,100.0,2026-08-19T11:20:02.35457Z,0.0,0.0,1.0,2026-08-19T11:20:02.415231Z,2026-08-19T14:00:00Z,True
KXHIGHMIA-26AUG18-T100,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,33913.59,0.0,22404.1,0.0,2026-08-24T02:13:02.880103+00:00,100.00,100.0,2026-08-19T11:20:02.35457Z,0.0,0.0,1.0,2026-08-19T11:20:02.415231Z,2026-08-19T14:00:00Z,True
KXHIGHMIA-26AUG18-B99.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,40244.68,0.0,19281.86,0.0,2026-08-24T02:13:02.880103+00:00,100.00,100.0,2026-08-19T11:20:02.35457Z,1.0,0.0,1.0,2026-08-19T11:20:02.415231Z,2026-08-19T14:00:00Z,True
KXHIGHMIA-26AUG18-B97.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,66292.24,0.0,46659.6,0.0,2026-08-24T02:13:02.880103+00:00,100.00,100.0,2026-08-19T11:20:02.35457Z,0.0,0.0,1.0,2026-08-19T11:20:02.415231Z,2026-08-19T14:00:00Z,True
