ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early,fetched_at_utc
KXHIGHMIA-26SEP06-T93,active,,0.06,0.07,43.05,21.0,0.93,0.94,0.06,0.0,957.46,957.46,677.97,0.0,,,,,0.0,0.0,2026-09-05T14:00:01.68601Z,2026-09-07T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP06-T86,active,,0.0,0.01,0.0,3192.0,0.99,1.0,0.01,0.0,482.33,482.33,482.33,0.0,,,,,0.0,0.0,2026-09-05T14:00:01.68601Z,2026-09-07T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP06-B92.5,active,,0.42,0.43,5.83,4.09,0.57,0.58,0.42,0.0,1261.65,1261.65,1059.16,0.0,,,,,0.0,0.0,2026-09-05T14:00:01.68601Z,2026-09-07T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP06-B90.5,active,,0.43,0.44,50.0,20.82,0.56,0.57,0.44,0.0,1038.27,1038.27,927.4,0.0,,,,,0.0,0.0,2026-09-05T14:00:01.68601Z,2026-09-07T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP06-B88.5,active,,0.06,0.08,42.13,8.0,0.92,0.94,0.09,0.0,1183.34,1183.34,937.7,0.0,,,,,0.0,0.0,2026-09-05T14:00:01.68601Z,2026-09-07T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP06-B86.5,active,,0.01,0.02,418.0,123.0,0.98,0.99,0.02,0.0,868.08,868.08,850.08,0.0,,,,,0.0,0.0,2026-09-05T14:00:01.68601Z,2026-09-07T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP05-T93,active,,0.0,0.01,0.0,11186.08,0.99,1.0,0.01,0.06,16046.25,14792.17,11203.54,0.0,,,,,0.05,0.06,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP05-T86,active,,0.0,0.01,0.0,77863.17,0.99,1.0,0.01,0.01,2238.83,1689.23,2238.83,0.0,,,,,0.0,0.01,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP05-B92.5,active,,0.98,1.0,25.0,0.0,0.0,0.02,0.97,0.29,31995.06,30241.55,17238.07,0.0,,,,,0.29,0.3,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP05-B90.5,active,,0.0,0.01,0.0,12253.93,0.99,1.0,0.01,0.47,40356.51,39643.94,32661.8,0.0,,,,,0.47,0.49,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP05-B88.5,active,,0.0,0.01,0.0,89484.4,0.99,1.0,0.01,0.15,19258.54,18057.6,14055.1,0.0,,,,,0.15,0.18,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP05-B86.5,active,,0.0,0.01,0.0,70291.4,0.99,1.0,0.01,0.04,9855.82,8319.71,8725.52,0.0,,,,,0.03,0.04,2026-09-04T14:00:01.252403Z,2026-09-06T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP04-T94,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.02,0.02,3195.25,0.0,2860.28,0.0,91.00,91.0,2026-09-05T11:20:35.485432Z,0.0,0.0,0.01,2026-09-05T11:20:35.496513Z,2026-09-05T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP04-T87,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,15777.83,0.0,11199.15,0.0,91.00,91.0,2026-09-05T11:20:35.485432Z,0.0,0.0,0.01,2026-09-05T11:20:35.496513Z,2026-09-05T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP04-B93.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,20478.78,833.0,9585.66,0.0,91.00,91.0,2026-09-05T11:20:35.485432Z,0.0,0.0,0.01,2026-09-05T11:20:35.496513Z,2026-09-05T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP04-B91.5,finalized,yes,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.99,29121.6,0.0,20844.4,0.0,91.00,91.0,2026-09-05T11:20:35.485432Z,1.0,0.99,1.0,2026-09-05T11:20:35.496513Z,2026-09-05T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP04-B89.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,32278.29,853.03,21027.77,0.0,91.00,91.0,2026-09-05T11:20:35.485432Z,0.0,0.0,0.01,2026-09-05T11:20:35.496513Z,2026-09-05T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
KXHIGHMIA-26SEP04-B87.5,finalized,no,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,23536.1,0.0,11465.24,0.0,91.00,91.0,2026-09-05T11:20:35.485432Z,0.0,0.0,0.01,2026-09-05T11:20:35.496513Z,2026-09-05T14:00:00Z,True,2026-09-06T04:42:59.976836+00:00
