fetched_at_utc,city,ticker,yes_best_bid,yes_best_ask,yes_ask_depth_usdc,yes_vwap_buy_100,no_best_bid,no_best_ask,no_ask_depth_usdc,no_vwap_buy_100
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG04-T83,,0.02,1632.76,0.098164,0.98,,0.0,
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG04-T76,0.44,0.45,2092.14,0.451275,0.55,0.56,3527.54,0.56
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG04-B82.5,0.03,0.04,1605.54,0.136175,0.96,0.97,590.43,0.978364
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG04-B80.5,0.07,0.1,1650.03,0.153903,0.9,0.93,1147.75,0.936162
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG04-B78.5,0.16,0.17,1969.3,0.217455,0.83,0.84,2339.12,0.84
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG04-B76.5,0.23,0.26,2125.7,0.30486,0.74,0.77,3229.07,0.77303
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG03-T83,0.04,0.05,20825.11,0.162969,0.95,0.96,6413.76,0.969031
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG03-T76,,0.01,104715.69,0.01,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG03-B82.5,0.13,0.17,15207.6,0.205513,0.83,0.87,9110.74,0.887229
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG03-B80.5,0.54,0.56,24781.36,0.58338,0.44,0.46,9729.04,0.483326
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG03-B78.5,0.27,0.28,34069.68,0.31357,0.72,0.73,7985.33,0.742246
2026-08-03T21:03:52.245799+00:00,San Francisco,KXHIGHTSFO-26AUG03-B76.5,,0.01,32879.3,0.01,0.99,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG05-T81,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG05-T74,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG05-B80.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG05-B78.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG05-B76.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG05-B74.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG04-T83,,0.01,1504.23,0.092113,0.99,,0.0,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG04-T76,0.54,0.55,3928.41,0.594547,0.45,0.46,1351.98,0.506863
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG04-B82.5,0.02,0.03,1415.29,0.1119,0.97,0.98,26.95,
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG04-B80.5,0.02,0.03,1638.86,0.126489,0.97,0.98,1199.89,0.98
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG04-B78.5,0.12,0.13,2274.52,0.185829,0.87,0.88,3082.94,0.880926
2026-08-04T13:13:22.773018+00:00,San Francisco,KXHIGHTSFO-26AUG04-B76.5,0.28,0.29,2095.95,0.336126,0.71,0.72,2859.16,0.741911
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG05-T81,0.03,0.04,1558.43,0.140476,0.96,0.97,314.94,0.984977
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG05-T74,0.3,0.34,1778.82,0.350188,0.66,0.7,2315.71,0.704958
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG05-B80.5,0.03,0.04,1386.53,0.129082,0.96,0.97,131.33,0.986645
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG05-B78.5,0.04,0.05,1478.17,0.187563,0.95,0.96,626.95,0.96
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG05-B76.5,0.2,0.21,1963.75,0.272235,0.79,0.8,2035.75,0.823249
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG05-B74.5,0.36,0.41,2128.31,0.431641,0.59,0.64,2392.21,0.641026
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG04-T83,,0.01,1509.4,0.092041,0.99,,0.0,
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG04-T76,0.51,0.52,4899.0,0.539084,0.48,0.49,1258.24,0.538528
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG04-B82.5,0.02,0.03,1527.73,0.112324,0.97,0.98,74.7,
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG04-B80.5,0.02,0.03,1656.17,0.106914,0.97,0.98,669.23,0.984927
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG04-B78.5,0.14,0.15,2314.79,0.196483,0.85,0.86,10139.56,0.864402
2026-08-04T15:40:46.717612+00:00,San Francisco,KXHIGHTSFO-26AUG04-B76.5,0.29,0.3,2085.55,0.330675,0.7,0.71,3828.01,0.724384
