ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHTSFO-26AUG05-T81,active,,0.0,0.01,0.0,63.62,0.99,1.0,0.01,0.0,772.0,772.0,727.0,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.0,2026-08-04T14:00:01.771433Z,2026-08-06T14:00:00Z,True
KXHIGHTSFO-26AUG05-T74,active,,0.43,0.44,1.0,110.09,0.56,0.57,0.44,0.0,2414.35,2414.35,1666.33,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.0,2026-08-04T14:00:01.771433Z,2026-08-06T14:00:00Z,True
KXHIGHTSFO-26AUG05-B80.5,active,,0.01,0.02,168.86,17.54,0.98,0.99,0.01,0.0,640.17,640.17,406.23,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.0,2026-08-04T14:00:01.771433Z,2026-08-06T14:00:00Z,True
KXHIGHTSFO-26AUG05-B78.5,active,,0.07,0.08,1.0,183.89,0.92,0.93,0.08,0.0,812.79,812.79,571.04,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.0,2026-08-04T14:00:01.771433Z,2026-08-06T14:00:00Z,True
KXHIGHTSFO-26AUG05-B76.5,active,,0.16,0.17,1.0,45.36,0.83,0.84,0.14,0.0,2506.57,2506.57,1569.55,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.0,2026-08-04T14:00:01.771433Z,2026-08-06T14:00:00Z,True
KXHIGHTSFO-26AUG05-B74.5,active,,0.34,0.35,555.02,28.72,0.65,0.66,0.34,0.0,943.85,943.85,609.5,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.0,2026-08-04T14:00:01.771433Z,2026-08-06T14:00:00Z,True
KXHIGHTSFO-26AUG04-T83,active,,0.0,0.01,0.0,3348.01,0.99,1.0,0.01,0.02,1070.43,284.09,928.09,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.0,0.02,2026-08-03T14:00:03.250356Z,2026-08-05T14:00:00Z,True
KXHIGHTSFO-26AUG04-T76,active,,0.99,1.0,7782.39,0.0,0.0,0.01,0.99,0.38,31489.37,26694.85,16181.46,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.36,0.37,2026-08-03T14:00:03.250356Z,2026-08-05T14:00:00Z,True
KXHIGHTSFO-26AUG04-B82.5,active,,0.0,0.01,0.0,2952.89,0.99,1.0,0.01,0.03,1225.15,952.15,881.25,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.02,0.03,2026-08-03T14:00:03.250356Z,2026-08-05T14:00:00Z,True
KXHIGHTSFO-26AUG04-B80.5,active,,0.0,0.01,0.0,3047.01,0.99,1.0,0.01,0.12,5077.6,4760.57,3553.09,0.0,2026-08-05T03:40:18.253294+00:00,,,,,0.1,0.11,2026-08-03T14:00:03.250356Z,2026-08-05T14:00:00Z,True
