ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early,fetched_at_utc
KXHIGHTSFO-26SEP22-T75,active,,0.01,0.02,129.28,356.0,0.98,0.99,0.01,0.0,508.72,508.72,508.72,0.0,,,,,0.0,0.0,2026-09-21T14:00:01.765376Z,2026-09-23T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP22-T68,active,,0.26,0.27,1.0,37.0,0.73,0.74,0.28,0.0,1004.55,1004.55,825.45,0.0,,,,,0.0,0.0,2026-09-21T14:00:01.765376Z,2026-09-23T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP22-B74.5,active,,0.03,0.06,52.0,71.0,0.94,0.97,0.05,0.0,274.35,274.35,253.93,0.0,,,,,0.0,0.0,2026-09-21T14:00:01.765376Z,2026-09-23T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP22-B72.5,active,,0.11,0.16,72.0,11.0,0.84,0.89,0.14,0.0,272.07,272.07,272.07,0.0,,,,,0.0,0.0,2026-09-21T14:00:01.765376Z,2026-09-23T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP22-B70.5,active,,0.25,0.31,37.2,6.0,0.69,0.75,0.27,0.0,87.35,87.35,82.0,0.0,,,,,0.0,0.0,2026-09-21T14:00:01.765376Z,2026-09-23T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP22-B68.5,active,,0.35,0.36,23.0,92.0,0.64,0.65,0.35,0.0,464.1,464.1,413.87,0.0,,,,,0.0,0.0,2026-09-21T14:00:01.765376Z,2026-09-23T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP21-T73,active,,0.0,0.01,0.0,8448.02,0.99,1.0,0.01,0.02,995.92,248.04,885.84,0.0,,,,,0.0,0.02,2026-09-20T14:00:02.358897Z,2026-09-22T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP21-T66,active,,0.0,0.01,0.0,146917.1,0.99,1.0,0.01,0.12,5103.49,4179.19,3870.8,0.0,,,,,0.11,0.12,2026-09-20T14:00:02.358897Z,2026-09-22T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP21-B72.5,active,,0.0,0.01,0.0,8540.63,0.99,1.0,0.01,0.05,533.59,472.45,531.59,0.0,,,,,0.03,0.04,2026-09-20T14:00:02.358897Z,2026-09-22T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP21-B70.5,active,,0.0,0.01,0.0,8024.78,0.99,1.0,0.01,0.13,7755.01,7675.84,6854.67,0.0,,,,,0.11,0.13,2026-09-20T14:00:02.358897Z,2026-09-22T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP21-B68.5,active,,0.99,1.0,8588.45,0.0,0.0,0.01,0.99,0.45,5689.97,5469.94,4027.34,0.0,,,,,0.43,0.45,2026-09-20T14:00:02.358897Z,2026-09-22T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
KXHIGHTSFO-26SEP21-B66.5,active,,0.0,0.01,0.0,112918.56,0.99,1.0,0.01,0.32,6141.5,6024.24,4291.29,0.0,,,,,0.29,0.31,2026-09-20T14:00:02.358897Z,2026-09-22T14:00:00Z,True,2026-09-22T00:13:52.068814+00:00
