fetched_at_utc,city,ticker,yes_best_bid,yes_best_ask,yes_ask_depth_usdc,yes_vwap_buy_100,no_best_bid,no_best_ask,no_ask_depth_usdc,no_vwap_buy_100
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG04-T91,0.01,0.02,1951.9,0.038031,0.98,0.99,281.52,0.99
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG04-T84,0.15,0.16,2108.67,0.182955,0.84,0.85,2204.17,0.871878
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG04-B90.5,0.04,0.05,1883.63,0.141966,0.95,0.96,1115.64,0.968478
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG04-B88.5,0.15,0.16,2305.38,0.202154,0.84,0.85,2471.13,0.867774
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG04-B86.5,0.37,0.38,2726.29,0.400294,0.62,0.63,2887.57,0.643728
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG04-B84.5,0.24,0.25,2188.66,0.329455,0.75,0.76,2963.69,0.760661
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG03-T82,,0.01,1257.92,0.010091,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG03-T75,0.11,0.12,1192.34,0.218132,0.88,0.89,960.05,0.918774
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG03-B81.5,,0.01,1313.54,0.055582,0.99,,0.0,
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG03-B79.5,0.05,0.06,1356.74,0.090841,0.94,0.95,1390.68,0.951263
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG03-B77.5,0.31,0.33,1312.77,0.368094,0.67,0.69,5378.83,0.708935
2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA-26AUG03-B75.5,0.49,0.5,7478.71,0.526473,0.5,0.51,1027.56,0.546746
2026-08-04T13:13:22.773018+00:00,Seattle,KXHIGHTSEA-26AUG05-T95,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Seattle,KXHIGHTSEA-26AUG05-T88,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Seattle,KXHIGHTSEA-26AUG05-B94.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Seattle,KXHIGHTSEA-26AUG05-B92.5,,,0.0,,,,0.0,
2026-08-04T13:13:22.773018+00:00,Seattle,KXHIGHTSEA-26AUG05-B90.5,,,0.0,,,,0.0,
