ticker,event_ticker,title,status,result,floor_strike,cap_strike,strike_type,yes_sub_title,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,open_time,close_time,expiration_time,rules_primary,rules_secondary,fetched_at_utc,city,series_ticker,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,no_sub_title,market_type,created_time,updated_time,expected_expiration_time,latest_expiration_time,occurrence_datetime,notional_value,price_ranges,price_level_structure,can_close_early,early_close_condition,settlement_timer_seconds,exchange_index
KXHIGHTSEA-26AUG04-T91,KXHIGHTSEA-26AUG04,"Will the maximum temperature be >91° on Aug 4, 2026?",active,,91.0,,greater,92° or above,0.01,0.02,284.36,34.0,0.98,0.99,0.01,0.0,293.11,293.11,285.11,0.0,2026-08-03T14:00:00Z,2026-08-05T08:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 4, 2026, is greater than 91° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG04-T84,KXHIGHTSEA-26AUG04,"Will the maximum temperature be <84° on Aug 4, 2026?",active,,,84.0,less,83° or below,0.15,0.16,13.71,101.0,0.84,0.85,0.15,0.0,1448.16,1448.16,1281.74,0.0,2026-08-03T14:00:00Z,2026-08-05T08:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 4, 2026, is less than 84° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG04-B90.5,KXHIGHTSEA-26AUG04,"Will the maximum temperature be 90-91° on Aug 4, 2026?",active,,90.0,91.0,between,90° to 91°,0.04,0.05,15.72,5.59,0.95,0.96,0.05,0.0,581.1,581.1,275.1,0.0,2026-08-03T14:00:00Z,2026-08-05T08:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 4, 2026, is between 90-91° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG04-B88.5,KXHIGHTSEA-26AUG04,"Will the maximum temperature be 88-89° on Aug 4, 2026?",active,,88.0,89.0,between,88° to 89°,0.15,0.16,16.36,8.81,0.84,0.85,0.16,0.0,678.81,675.81,410.01,0.0,2026-08-03T14:00:00Z,2026-08-05T08:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 4, 2026, is between 88-89° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG04-B86.5,KXHIGHTSEA-26AUG04,"Will the maximum temperature be 86-87° on Aug 4, 2026?",active,,86.0,87.0,between,86° to 87°,0.37,0.38,48.32,11.26,0.62,0.63,0.39,0.0,678.26,678.26,541.66,0.0,2026-08-03T14:00:00Z,2026-08-05T08:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 4, 2026, is between 86-87° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG04-B84.5,KXHIGHTSEA-26AUG04,"Will the maximum temperature be 84-85° on Aug 4, 2026?",active,,84.0,85.0,between,84° to 85°,0.24,0.25,122.77,1.0,0.75,0.76,0.27,0.0,468.25,468.25,365.25,0.0,2026-08-03T14:00:00Z,2026-08-05T08:00:00Z,2026-08-11T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 4, 2026, is between 84-85° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG03-T82,KXHIGHTSEA-26AUG03,"Will the maximum temperature be >82° on Aug 3, 2026?",active,,82.0,,greater,83° or above,0.0,0.01,0.0,9820.34,0.99,1.0,0.01,0.03,838.73,594.72,738.3,0.0,2026-08-02T14:00:00Z,2026-08-04T08:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 3, 2026, is greater than 82° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG03-T75,KXHIGHTSEA-26AUG03,"Will the maximum temperature be <75° on Aug 3, 2026?",active,,,75.0,less,74° or below,0.11,0.12,13.09,1.0,0.88,0.89,0.1,0.04,4992.48,4943.48,4129.82,0.0,2026-08-02T14:00:00Z,2026-08-04T08:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 3, 2026, is less than 75° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG03-B81.5,KXHIGHTSEA-26AUG03,"Will the maximum temperature be 81-82° on Aug 3, 2026?",active,,81.0,82.0,between,81° to 82°,0.0,0.01,0.0,413.01,0.99,1.0,0.01,0.07,2074.47,1659.37,1769.11,0.0,2026-08-02T14:00:00Z,2026-08-04T08:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 3, 2026, is between 81-82° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG03-B79.5,KXHIGHTSEA-26AUG03,"Will the maximum temperature be 79-80° on Aug 3, 2026?",active,,79.0,80.0,between,79° to 80°,0.05,0.06,91.85,128.82,0.94,0.95,0.06,0.25,6898.84,5919.83,4668.17,0.0,2026-08-02T14:00:00Z,2026-08-04T08:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 3, 2026, is between 79-80° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG03-B77.5,KXHIGHTSEA-26AUG03,"Will the maximum temperature be 77-78° on Aug 3, 2026?",active,,77.0,78.0,between,77° to 78°,0.31,0.33,2.51,28.46,0.67,0.69,0.32,0.46,6164.93,5407.04,3419.15,0.0,2026-08-02T14:00:00Z,2026-08-04T08:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 3, 2026, is between 77-78° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG03-B75.5,KXHIGHTSEA-26AUG03,"Will the maximum temperature be 75-76° on Aug 3, 2026?",active,,75.0,76.0,between,75° to 76°,0.49,0.5,1.73,10.6,0.5,0.51,0.5,0.15,7613.22,6764.82,5651.95,0.0,2026-08-02T14:00:00Z,2026-08-04T08:00:00Z,2026-08-10T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 3, 2026, is between 75-76° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG02-T75,KXHIGHTSEA-26AUG02,"Will the maximum temperature be >75° on Aug 2, 2026?",finalized,no,75.0,,greater,76° or above,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,846.31,11.0,829.68,0.0,2026-08-01T14:00:00Z,2026-08-03T08:00:00Z,2026-08-09T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 2, 2026, is greater than 75° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG02-T68,KXHIGHTSEA-26AUG02,"Will the maximum temperature be <68° on Aug 2, 2026?",finalized,no,,68.0,less,67° or below,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,4329.29,1709.09,3498.78,0.0,2026-08-01T14:00:00Z,2026-08-03T08:00:00Z,2026-08-09T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 2, 2026, is less than 68° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG02-B74.5,KXHIGHTSEA-26AUG02,"Will the maximum temperature be 74-75° on Aug 2, 2026?",finalized,no,74.0,75.0,between,74° to 75°,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.01,3314.43,1632.08,2196.03,0.0,2026-08-01T14:00:00Z,2026-08-03T08:00:00Z,2026-08-09T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 2, 2026, is between 74-75° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG02-B72.5,KXHIGHTSEA-26AUG02,"Will the maximum temperature be 72-73° on Aug 2, 2026?",finalized,no,72.0,73.0,between,72° to 73°,0.0,1.0,0.0,0.0,0.0,1.0,0.01,0.14,25025.18,19136.16,16872.91,0.0,2026-08-01T14:00:00Z,2026-08-03T08:00:00Z,2026-08-09T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 2, 2026, is between 72-73° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
KXHIGHTSEA-26AUG02-B70.5,KXHIGHTSEA-26AUG02,"Will the maximum temperature be 70-71° on Aug 2, 2026?",finalized,yes,70.0,71.0,between,70° to 71°,0.0,1.0,0.0,0.0,0.0,1.0,0.99,0.69,22157.59,16554.15,10853.09,0.0,2026-08-01T14:00:00Z,2026-08-03T08:00:00Z,2026-08-09T14:00:00Z,"If the maximum temperature recorded at Seattle for Aug 2, 2026, is between 70-71° fahrenheit according to the National Weather Service's Climatological Report (Daily), then the market resolves to Yes.","Data for CLISEA can be found by clicking the following URL: https://www.weather.gov/wrh/climate?wfo=sew, navigating to the ""Observed Weather"" tab, and choosing the location ""Seattle-Tacoma, WA"" with Daily Climate Report selected. Please use the latest version of the data for the desired date, keeping in mind that different cities update their reports at different frequencies.

Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the maximum/minimum temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",2026-08-03T21:03:52.245799+00:00,Seattle,KXHIGHTSEA,,,,,,,,,,,,,,,,,,,,
