ticker,status,result,yes_bid,yes_ask,yes_bid_size,yes_ask_size,no_bid,no_ask,last_price,previous_price,volume,volume_24h,open_interest,liquidity,fetched_at_utc,expiration_value,expiration_value_f,settlement_ts,settlement_value,previous_yes_bid,previous_yes_ask,updated_time,occurrence_datetime,can_close_early
KXHIGHTSEA-26AUG17-T84,active,,0.01,0.02,1.01,202.0,0.98,0.99,0.02,0.0,607.33,607.33,604.33,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTSEA-26AUG17-T77,active,,0.17,0.22,35.0,43.01,0.78,0.83,0.17,0.0,471.02,471.02,384.02,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTSEA-26AUG17-B83.5,active,,0.03,0.04,135.0,10.0,0.96,0.97,0.05,0.0,434.59,434.59,318.79,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTSEA-26AUG17-B81.5,active,,0.19,0.22,157.0,5.0,0.78,0.81,0.21,0.0,977.12,977.12,854.5,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTSEA-26AUG17-B79.5,active,,0.32,0.34,6.0,27.0,0.66,0.68,0.34,0.0,410.09,410.09,409.09,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTSEA-26AUG17-B77.5,active,,0.25,0.27,0.26,15.0,0.73,0.75,0.27,0.0,479.58,479.58,476.58,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.0,0.0,2026-08-16T14:00:00.973924Z,2026-08-18T14:00:00Z,True
KXHIGHTSEA-26AUG16-T84,active,,0.0,0.01,0.0,8228.67,0.99,1.0,0.01,0.02,898.0,221.0,581.0,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.01,0.02,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTSEA-26AUG16-T77,active,,0.99,1.0,4515.44,0.0,0.0,0.01,0.99,0.49,8714.22,7769.03,5599.79,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.48,0.49,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTSEA-26AUG16-B83.5,active,,0.0,0.01,0.0,7592.92,0.99,1.0,0.01,0.03,543.17,360.76,513.41,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.03,0.04,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
KXHIGHTSEA-26AUG16-B81.5,active,,0.0,0.01,0.0,10137.84,0.99,1.0,0.01,0.07,826.05,678.9,724.85,0.0,2026-08-17T02:02:03.375439+00:00,,,,,0.04,0.07,2026-08-15T14:00:01.051231Z,2026-08-17T14:00:00Z,True
