fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-09T04:39:58.128641+00:00,Austin,0xa2c33c19fdd86c78787c572cd4fb98edc322c7cc3dfb2011434072830a09a1ce,Will the highest temperature in Austin be 89°F or below on September 8?,True,False,2026-09-08,2026-09-06,989.6083659999999,434.862016,11141.21435,,1788928508626,,0.999,0.001,,8700.95,0.0,0.008982,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""26948455269146146765008537323831507064821629683041883035410282359545644690287"", ""73260183688382037997365586489289831164458922716575136072586776644313887075596""]"
2026-09-09T04:39:58.128681+00:00,Austin,0xdc8706bce2f263ec46bd6d0c63e48a209c5c42a92d1a82de948a70b0469fcdf5,Will the highest temperature in Austin be between 90-91°F on September 8?,True,False,2026-09-08,2026-09-06,1285.8370160000002,554.549016,7448.66575,,1788928421647,,0.999,0.001,,8855.48,0.0,0.01343,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""70794398020760064856707205142879950400001031200618471839542495932389872495577"", ""50112727403214930879110040542787600089931795246232611559884735327579202053107""]"
2026-09-09T04:39:58.128706+00:00,Austin,0x0e6b2e63cebe2a26d2faadbee3295384a7a3b320632b99cbadc46d56071db5e9,Will the highest temperature in Austin be between 92-93°F on September 8?,True,False,2026-09-08,2026-09-06,469.8208190000001,181.211112,7149.55432,,1788928567419,,0.999,0.001,,8661.66,0.0,0.013957,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""60630321203230101199291894997616850279600779550388614081433152502607557197095"", ""25723687939259677316385606254684229301289639616370423698681138981530461313117""]"
2026-09-09T04:39:58.128732+00:00,Austin,0x3302c91bfb931f1aee5fb83a29a8ccd722ea60c50530460fc51bed6d20570d09,Will the highest temperature in Austin be between 94-95°F on September 8?,True,False,2026-09-08,2026-09-06,2633.930888,2496.176555,7194.4633,,1788927664306,,0.999,0.001,,8630.0,0.0,0.013828,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""94350061441921675376257007908647936310184562795394661515505876659705698594481"", ""97409574535468067525642092042957716074160881424008836836854488653447994830337""]"
2026-09-09T04:39:58.128754+00:00,Austin,0x08477276b9ed04fe659a160bff49e3982c08bf6143b21a691fb5289bc7904fd4,Will the highest temperature in Austin be between 96-97°F on September 8?,True,False,2026-09-08,2026-09-06,1227.8815149999998,702.947517,8753.16078,,1788926724040,,0.999,0.001,,8635.83,0.0,0.011379,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""86267065762789700986316344310101712182910647696549371897138725898987541410479"", ""97173983327823426652966911958824638364126691989138224226798599375525891917580""]"
2026-09-09T04:39:58.128768+00:00,Austin,0x52a88c2549a860ad7e99f6ba2f6818cec31bc4427dead7a53910b276f300180c,Will the highest temperature in Austin be between 98-99°F on September 8?,True,False,2026-09-08,2026-09-06,4557.6140369999985,810.3640359999998,12847.2457,,1788926850120,,0.999,0.001,,664.86,0.0,0.007807,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""66684463574613702562293187199541102321443746821879061593088941717044067157458"", ""1401337034440767594453633570755785320328557614805445090269012569496219395037""]"
2026-09-09T04:39:58.128781+00:00,Austin,0xb9ff1fae48b31db4a4a9debf69f759312d43761eae04c667b41d6810e2960b5a,Will the highest temperature in Austin be between 100-101°F on September 8?,True,False,2026-09-08,2026-09-06,8553.950459000003,5117.761215,8852.23225,,1788929111803,0.999,,,0.001,0.0,9691.88,,0.01255,"{""Yes"": 0.9995, ""No"": 0.0005}","[""66182519186482290421181607945284638880840101582762688750283459628689552701855"", ""42033815972546024865829292979771308148807547863141890078650731039820352404144""]"
2026-09-09T04:39:58.128794+00:00,Austin,0xfe562f7a82e6da872d7b58a1edbf5af784edd082466306649e1b1cc23953b39e,Will the highest temperature in Austin be between 102-103°F on September 8?,True,False,2026-09-08,2026-09-06,2578.229716999999,1997.9492079999998,9045.21983,,1788928507980,,0.999,0.001,,8689.55,0.0,0.010985,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""59752221403392474233333745983088290552599887673097830195645873856253874531169"", ""86855864584753938968145355000617717426436180052951408250045396707250649722791""]"
2026-09-09T04:39:58.128807+00:00,Austin,0x4e4c4bcd1bad845f8541a5eeda419dca1df4d60b93291a07a56b1dd49c4aaf47,Will the highest temperature in Austin be between 104-105°F on September 8?,True,False,2026-09-08,2026-09-06,2224.4695859999993,1798.4791860000003,10398.53328,,1788926911080,,0.999,0.001,,8658.12,0.0,0.009566,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""1958294745453312256163642343097087930544125860936300670985991521256166706009"", ""91143944710285850860216116669861071223145910367948639433417273230654823931307""]"
2026-09-09T04:39:58.128819+00:00,Austin,0xb0b8f3968f213a721ede3deeb667922a07b3ff251e2c56664585949a82559295,Will the highest temperature in Austin be between 106-107°F on September 8?,True,False,2026-09-08,2026-09-06,260.1187,0.0,8132.99662,,1788928901843,,0.999,0.001,,8524.55,0.0,0.012193,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""85330002245135695939357098142876228373324824239502899899847161745683490919569"", ""41568533784164646132598356777182345467468320796490411157677200607420908893641""]"
