fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,outcome_probs_json,clob_token_ids_json,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100
2026-09-01T05:12:23.886862+00:00,Chicago,0x5f1624a7fbaafed9a505f218671eb85597d3ff92bae16875b7f6c09cc4a7a255,Will the lowest temperature in Chicago be 65°F or below on August 31?,True,False,2026-08-31,2026-08-29,184.99,44.379999999999995,0.0,,"{""Yes"": 0.5, ""No"": 0.5}","[""95902761554889820410714998176044679900056421964610008756664450623386409576756"", ""76142019569118571121886396913848742577207029031257515091622890216752588211480""]",1788224037985,,,,,0.0,0.0,,
2026-09-01T05:12:23.886907+00:00,Chicago,0x7aff13549477555ff4fed44425b3876dfb947d23d9deecb20436bb9f2a1fce04,Will the lowest temperature in Chicago be between 66-67°F on August 31?,True,False,2026-08-31,2026-08-29,156.99099999999999,16.991,47.6544,,"{""Yes"": 0.235, ""No"": 0.765}","[""34147714919997256321918912265323312980690651962022574614168097108777831160209"", ""73045783136902931053299112154630240403163932547105834103576817443643252258291""]",1788238822832,,0.53,0.47,,42.38,0.0,,
2026-09-01T05:12:23.886923+00:00,Chicago,0xd9d3697b72eafb7755ecccebac4bdd7d256979ffebbe93d445f8c8d82bc4b9f3,Will the lowest temperature in Chicago be between 68-69°F on August 31?,True,False,2026-08-31,2026-08-29,361.612592,361.612592,76.6608,,"{""Yes"": 0.075, ""No"": 0.925}","[""75153460881896050064560922666154735938592007975541552439666303138164424617744"", ""68096694606850728834410173874217569003478261765714082770144331629833257418689""]",1788240104787,,0.85,0.15,,68.42,0.0,,
2026-09-01T05:12:23.886939+00:00,Chicago,0x3ae2122a4e0c9ccc61982b4ddffa89f042c7b5c617102437ace66e94a4e9850b,Will the lowest temperature in Chicago be between 70-71°F on August 31?,True,False,2026-08-31,2026-08-29,357.323666,357.323666,570.2462,,"{""Yes"": 0.955, ""No"": 0.045}","[""39613845215519898799913320700742568569472071278220340489895512717513647345871"", ""26817326909933260108888941080133420746754099385742981651578168470925928229282""]",1788238869285,0.91,,,0.09,0.0,3010.17,,0.163705
2026-09-01T05:12:23.886955+00:00,Chicago,0x57b550f8308c12c9fc22cb792aa6e8598b085cb6a72a87898666dae6bcf22574,Will the lowest temperature in Chicago be between 72-73°F on August 31?,True,False,2026-08-31,2026-08-29,1095.707958,1095.707958,843.94042,,"{""Yes"": 0.085, ""No"": 0.915}","[""105413684976006074304840170557844674316184675810559230785287438916791415518555"", ""1987869200772200297842525934279247145105265319919331050443539095206209098520""]",1788238938994,,0.83,0.17,,9238.73,0.0,0.317616,
2026-09-01T05:12:23.886971+00:00,Chicago,0x413cfcc73322fea643a4f8109c2070ca11891ff0e632c70516635b8abef2b8f8,Will the lowest temperature in Chicago be between 74-75°F on August 31?,True,False,2026-08-31,2026-08-29,100.0,100.0,652.06019,,"{""Yes"": 0.009, ""No"": 0.991}","[""35015813968507248948406093474853090395045176344260368477828359365401373242326"", ""94871389363221256859901986388232834879763425428847110259402664144232784356468""]",1788236418384,,0.982,0.018,,6426.06,0.0,0.168179,
2026-09-01T05:12:23.886985+00:00,Chicago,0x6c898c8c9c8822b770cf914cf251180a78ffb1647df7ce08521112e78bbf0ce0,Will the lowest temperature in Chicago be between 76-77°F on August 31?,True,False,2026-08-31,2026-08-29,380.09894999999995,198.77999999999997,645.48039,,"{""Yes"": 0.004, ""No"": 0.996}","[""36449405290953304512726799905506221009283896258438572466983990278842451224955"", ""59801885631364728714315183324329427083972011442634614148151521270996543587140""]",1788238079902,,0.992,0.008,,6403.71,0.0,0.169841,
2026-09-01T05:12:23.887000+00:00,Chicago,0x04212ffd57cc9cc0a4b17f20c7e70a41e4e923bfbd8b004d51409e913c73f8c4,Will the lowest temperature in Chicago be between 78-79°F on August 31?,True,False,2026-08-31,2026-08-29,171.0,103.0,608.74239,,"{""Yes"": 0.004, ""No"": 0.996}","[""67161625229011316183133657432881181752260053536959273537210714381171562428607"", ""4508549379114962271804623694182355066973738384353045374809494286349585047902""]",1788237310290,,0.992,0.008,,6415.45,0.0,0.181275,
2026-09-01T05:12:23.887014+00:00,Chicago,0x2e2f0d6868dee1c2a94da1ee4b3e8a2be02907bceacb23d20af83bd5130dcbcb,Will the lowest temperature in Chicago be between 80-81°F on August 31?,True,False,2026-08-31,2026-08-29,276.9936,145.0,986.66639,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""38191709978340571914457868000190007238491467082264785569173117259043059388154"", ""73796910293143825987437590972718291835691896911481467926426396234840877245951""]",1788236631420,,0.999,0.001,,6373.52,0.0,0.107411,
2026-09-01T05:12:23.887029+00:00,Chicago,0xea00a2920569f8a8cd2caf74d37a151b6977dbc2bc7ffaea9ebda16f00c4519d,Will the lowest temperature in Chicago be between 82-83°F on August 31?,True,False,2026-08-31,2026-08-29,337.0,175.0,986.36639,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""78319650380667066947472859260635099612647193384550000924624680515607373695466"", ""102880969646166626780233156009535621408800164139912801128455778582589831665717""]",1788237301360,,0.999,0.001,,6373.82,0.0,0.107447,
