fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-21T04:52:59.533531+00:00,Hong Kong,0xc504ce1d5e7aeaa5204726f31244bf0be8fdf5f96bfa7cb555f25815f27253be,Will the lowest temperature in Hong Kong be 22°C or below on September 21?,True,False,2026-09-21,2026-09-19,37.333334,37.333334,780.3045,,1789966838887,,0.98,0.02,,2482.67,0.0,0.132411,,"{""Yes"": 0.01, ""No"": 0.99}","[""50974863218188821741738107404959531360238764657114732125106766065415139594649"", ""24976128598688798354509389820828907375156638082472949927131583998855533844931""]"
2026-09-21T04:52:59.533563+00:00,Hong Kong,0xb64a2ff0981b25b8eec60acde95ce752edd4f0f88faa216e77ea2103e8e799d7,Will the lowest temperature in Hong Kong be 23°C on September 21?,True,False,2026-09-21,2026-09-19,530.864,530.8640000000001,2245.31041,,1789966864034,,0.997,0.003,,35048.92,0.0,0.128814,,"{""Yes"": 0.0015, ""No"": 0.9985}","[""44930724029378391669901510806274832939286661708932003071917698683057328541649"", ""50618356978601908377518521102371834685535426430135137701933989153699043788009""]"
2026-09-21T04:52:59.533576+00:00,Hong Kong,0xcc05d7b44645417a21c9680e2af096e64752bcb0cf97c61338cfe52a8e085331,Will the lowest temperature in Hong Kong be 24°C on September 21?,True,False,2026-09-21,2026-09-19,234.39,234.39,171.168,,1789966668890,,0.98,0.02,,181.63,0.0,0.397754,,"{""Yes"": 0.01, ""No"": 0.99}","[""113004709702646272756699469562707291861870955011427256145733996552430901209127"", ""69162692443517828603888796047614629959194736158473656646583503986524921884775""]"
2026-09-21T04:52:59.533591+00:00,Hong Kong,0xb0cd85422387413b41a03b517e0bf4579fae93ff32b3049c6d2c5826d6c693a2,Will the lowest temperature in Hong Kong be 25°C on September 21?,True,False,2026-09-21,2026-09-19,559.7123929999999,515.712393,482.7697,,1789966718369,,0.96,0.04,,9915.15,0.0,0.260827,,"{""Yes"": 0.02, ""No"": 0.98}","[""98019579131481439080018874914595864186960996109069410722223163671064438065804"", ""114207484874063932862679255680612008625261971208815353138674451359031871832553""]"
2026-09-21T04:52:59.533604+00:00,Hong Kong,0x7b74dead2d299d7350d8a23e6f5d892520770021ee63bc242ecf7ac7df04ee79,Will the lowest temperature in Hong Kong be 26°C on September 21?,True,False,2026-09-21,2026-09-19,1348.0775529999999,1118.4044010000002,167.7077,,1789966854600,,0.98,0.02,,386.08,0.0,0.425855,,"{""Yes"": 0.01, ""No"": 0.99}","[""114192388611105546470004661372244779516973240576792281063987098120022288610345"", ""15222714336812531953941443917211394685609998927981882309920124029011382262197""]"
2026-09-21T04:52:59.533623+00:00,Hong Kong,0x1240fa99074713fe1d581ae939fc21bb0887ede21dc8dcf5d7d6d54ec2fbbc87,Will the lowest temperature in Hong Kong be 27°C on September 21?,True,False,2026-09-21,2026-09-19,3484.2105220000003,2905.1059849999997,150.1398,,1789966801032,0.89,0.08,0.92,0.11,223.12,630.03,0.959446,0.407301,"{""Yes"": 0.92, ""No"": 0.08}","[""95099941662506760925108228530392095525353937367741594692450732943691734358618"", ""52758852709236446120784763709283238148814582928472389761088891904707788583377""]"
2026-09-21T04:52:59.533637+00:00,Hong Kong,0x966b12aa8b1b3e53127f930b64bc98a05de090f5a02e97a1cdf532fb88b145fb,Will the lowest temperature in Hong Kong be 28°C on September 21?,True,False,2026-09-21,2026-09-19,4417.117125,4093.1021960000003,8882.16851,,1789966783756,,0.998,0.002,,43612.74,0.0,0.016004,,"{""Yes"": 0.001, ""No"": 0.999}","[""84791122605939666278519179699955406745461855204727594999296991496537334519973"", ""107806406313947348271487538990770748652606706289483433590463937825194185283073""]"
2026-09-21T04:52:59.533646+00:00,Hong Kong,0x9e735b2145c2c26a01312259b642d44d9570632c6690af11f02d328a0cd5289e,Will the lowest temperature in Hong Kong be 29°C on September 21?,True,False,2026-09-21,2026-09-19,82.087,82.087,5981.5485,,1789966679000,,0.997,0.003,,14419.42,0.0,0.016941,,"{""Yes"": 0.0015, ""No"": 0.9985}","[""33734367831209340936851574651902744852915601609928058750561657060506101982158"", ""38285037518120351129935412709635677181445656843748113529761210383366688059290""]"
2026-09-21T04:52:59.533655+00:00,Hong Kong,0x0c790175d4d049f5a42d5842d98b38d6c95fc4e8fe1727d716f72530db43f4ac,Will the lowest temperature in Hong Kong be 30°C on September 21?,True,False,2026-09-21,2026-09-19,1096.009,1074.009,8310.29581,,1789966824223,,0.994,0.006,,42019.62,0.0,0.016942,,"{""Yes"": 0.003, ""No"": 0.997}","[""90350209170348822374850756463304173546769993222851059687235346904037923252548"", ""3583139396680248837534414228122151697577654443188540560452431912170515666919""]"
2026-09-21T04:52:59.533664+00:00,Hong Kong,0x947aad21a121da3f8cb7aaacd46420937fc40e6119c2351b48ca28f1d0e6b277,Will the lowest temperature in Hong Kong be 31°C on September 21?,True,False,2026-09-21,2026-09-19,1104.049,1082.049,8419.778,,1789966854137,,0.999,0.001,,43689.34,0.0,0.016443,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""111548089121329838385519075433993294688458492126018019775648848836318443660746"", ""5664318210972204746330240962591442646034692691310712170473870581315580343653""]"
2026-09-21T04:52:59.533694+00:00,Hong Kong,0xf15149455f0088b8741ee574e4bb9270d5dddd916cdd0f869d23dbb4b93363a3,Will the lowest temperature in Hong Kong be 32°C or higher on September 21?,True,False,2026-09-21,2026-09-19,4.06,0.0,3715.02696,,1789966484492,,0.999,0.001,,10596.61,0.0,0.027135,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""112731087651406853848997093733518976010646658631377862471851723524786133616913"", ""60964705012188286705058957486243149483329690999895892502035926897152530687212""]"
2026-09-21T04:52:59.533708+00:00,Hong Kong,0x3819b6f721368005d243e5fb8736f2e73bc1d67278576cd2a44297ad63d49374,Will the highest temperature in Hong Kong be 25°C or below on September 21?,True,False,2026-09-21,2026-09-19,134.99099999999999,0.0,9489.05397,,1789966852691,,0.999,0.001,,17030.74,0.0,0.010779,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""104495053035137007610269007497003268644084157147983927345579358140004729490043"", ""48085169305965763188728476405968414566767932383232295612811520989617963443356""]"
2026-09-21T04:52:59.533721+00:00,Hong Kong,0xe9c2fb8f8b00e0c72ebb7a63606e307945946f7216129bfd29cb6bfeed43d9b9,Will the highest temperature in Hong Kong be 26°C on September 21?,True,False,2026-09-21,2026-09-19,124.997,0.0,12431.15618,,1789966716182,,0.999,0.001,,17441.47,0.0,0.008268,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""111842179362843215933991635465580678065225735093074197825263224578091680514556"", ""48930160893744218943884677173090249098639624160451416098364981030333803726829""]"
2026-09-21T04:52:59.533736+00:00,Hong Kong,0xb4b25126e312136d9f4a700bcc026ec1c3066271f5e7c980e2b252a45c715d24,Will the highest temperature in Hong Kong be 27°C on September 21?,True,False,2026-09-21,2026-09-19,490.43947400000013,112.380223,12182.65929,,1789966852885,,0.999,0.001,,9195.45,0.0,0.008392,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""40808093870829247542841024260725473513704085670919621797476434812590857943370"", ""102589300922702620216094965857293260408241649956936205375016429474688445874408""]"
2026-09-21T04:52:59.533749+00:00,Hong Kong,0x570faabee22978eed0ef1b59a48b7e684e56cc947489402968a38eb74e95e35e,Will the highest temperature in Hong Kong be 28°C on September 21?,True,False,2026-09-21,2026-09-19,3075.821661,2886.666761,12454.61862,,1789966827140,,0.999,0.001,,31883.39,0.0,0.008821,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""37809245730027432773873355049276271328273938955357222375539904292958472901756"", ""101999313888332912083738656385924680461854620317498413241078246438555926531858""]"
2026-09-21T04:52:59.533761+00:00,Hong Kong,0xa2178fedcc535c2b0babc3c97a28bd54b216911e386696590d4484c29445c841,Will the highest temperature in Hong Kong be 29°C on September 21?,True,False,2026-09-21,2026-09-19,11763.469662,11577.780494999997,11412.4935,,1789966865291,,0.999,0.001,,34914.41,0.0,0.009059,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""102045610755739024611182563709332550252312668748198898760096152070002921617284"", ""91590596180811985020106154398924432984089592475498007308932024067827233406361""]"
2026-09-21T04:52:59.533773+00:00,Hong Kong,0xfbb0c98305f64edc919fcf760eea2ecdc63af49f32752a5684158ea177a48248,Will the highest temperature in Hong Kong be 30°C on September 21?,True,False,2026-09-21,2026-09-19,17788.421464000006,16920.898214999997,12124.56719,,1789966742450,,0.999,0.001,,32391.71,0.0,0.008565,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""55169612013886078952947986195445715947465368080265577254405552580096674411232"", ""41844264140945938255390597380884607968785595022800270573063070559740640158224""]"
2026-09-21T04:52:59.533785+00:00,Hong Kong,0x63946dd3e4189e0e51b92f14af7b642dc6d2fe64b0fb303672c390a36de9923a,Will the highest temperature in Hong Kong be 31°C on September 21?,True,False,2026-09-21,2026-09-19,6859.452418000001,6675.0144370000025,16969.66075,,1789966632986,,0.999,0.001,,18967.07,0.0,0.006304,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""26648805295020001668354615197711704116222912738176424631380727399711141921157"", ""45179942168657484821383553331110218974936492583360036183347949756865979415155""]"
