fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-09T04:35:31.768702+00:00,London,0xc2b23ad52c215d1bb3a01b27d5af9b4f16d536bd7b38793aa560041e35338042,Will the lowest temperature in London be 6°C or below on September 9?,True,False,2026-09-09,2026-09-07,255.998,240.998,2799.67442,,1788929129599,,0.999,0.001,,10378.78,0.0,0.035159,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""68747439370014444958612453912051035654834221521031040277903814210242318979353"", ""51446080234153748541631307923809011248504018805098899935412970562163178474380""]"
2026-09-09T04:35:31.768738+00:00,London,0xca0abda5e14b12c1fc736fa338939b5242b70ee67923cb4be8e9ffd777cd8555,Will the lowest temperature in London be 7°C on September 9?,True,False,2026-09-09,2026-09-07,193.59850000000003,110.848,1819.09888,,1788929138108,0.001,0.997,0.003,0.999,11562.4,6.49,0.052695,,"{""Yes"": 0.002, ""No"": 0.998}","[""86489981106866050920632058235049418793451767316558507954871694086543675629489"", ""79366293584066515913590325225888821751816427527942456983904734933608859149743""]"
2026-09-09T04:35:31.768762+00:00,London,0xfca84a1065bf412915d5783a09c676dab3a6739ee3dac88682aa8ee94b8bea48,Will the lowest temperature in London be 8°C on September 9?,True,False,2026-09-09,2026-09-07,157.866013,80.526013,1208.71237,,1788929077000,,0.999,0.001,,11528.27,0.0,0.075549,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""48944127492358814723300547842190836051762970626100015308347464921226559018958"", ""18224848105120565318993388629746524864580182252034090838651470193800836818006""]"
2026-09-09T04:35:31.768782+00:00,London,0x03eeb63439b2f37247b03288fd397738ccbfb431dfe49d0dfc03f0804d8366d1,Will the lowest temperature in London be 9°C on September 9?,True,False,2026-09-09,2026-09-07,203.22601300000002,80.526013,812.84056,,1788929077000,,0.999,0.001,,11525.02,0.0,0.109736,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""26639059411128265460376783981800019522903828290730283790414460843454326415250"", ""82651827778760833326863659799490032006060621100949014479921563937217707086278""]"
2026-09-09T04:35:31.768800+00:00,London,0x733468759f7c4c4d309b4e6f5cd7b603d6541ad5bbdb0ac407133222aebd87be,Will the lowest temperature in London be 10°C on September 9?,True,False,2026-09-09,2026-09-07,91.051,29.161,414.42103,,1788929077000,,0.976,0.024,,10551.89,0.0,0.167627,,"{""Yes"": 0.0215, ""No"": 0.9785}","[""28851576324931362804076109888317193012067430601030161290475584283992766035426"", ""2696507616617952886031694273889062067924418305516531302524878825747265626368""]"
2026-09-09T04:35:31.768818+00:00,London,0x329b5da944ac28217a0a2c1f04fbcc0699a8a4ef53518a0ff89987fee3ba5fe6,Will the lowest temperature in London be 11°C on September 9?,True,False,2026-09-09,2026-09-07,507.19416199999995,216.04000000000002,166.9151,,1788929106419,0.03,0.93,0.07,0.97,532.79,231.85,0.449144,0.97,"{""Yes"": 0.08, ""No"": 0.92}","[""27138071195982094492072927316073403769734160694388948847885688198394641328181"", ""40073763102289347844055413894752825127518531976529088061462408656241240393582""]"
2026-09-09T04:35:31.768839+00:00,London,0x10bee12ed4af588965de0517c19c9696b95fe53eb1cb9a5332e944261f76f6b2,Will the lowest temperature in London be 12°C on September 9?,True,False,2026-09-09,2026-09-07,1584.8257820000001,665.1760320000001,240.2039,,1788929126111,0.93,0.04,0.96,0.07,843.37,1001.43,0.967581,0.322914,"{""Yes"": 0.915, ""No"": 0.085}","[""20670941375903170256153008035263259780391590028236844554883471429985443535527"", ""98044901746267436968093789735755113677634476780015542025548757182039205356531""]"
2026-09-09T04:35:31.768857+00:00,London,0xc221e6c2789d7355298c6e4ee0b187274eeaed68a765876998e2b55884c3016e,Will the lowest temperature in London be 13°C on September 9?,True,False,2026-09-09,2026-09-07,2693.7997609999998,2281.913975,2725.47242,,1788929077001,,0.999,0.001,,25480.07,0.0,0.045965,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""25290191078298083315723199155669760706051036029278737016737894471782282596907"", ""3420143039264864414010781033358538622598809609869362846804087547614362970149""]"
2026-09-09T04:35:31.768900+00:00,London,0x2d46bb2b0137d2dbbed1c3b3b45e716cf88e467ad7574553cb11056b4df0a2e9,Will the lowest temperature in London be 14°C on September 9?,True,False,2026-09-09,2026-09-07,167.956928,81.8,4343.34623,,1788929077155,,0.999,0.001,,13970.78,0.0,0.022741,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""111297160025813162010233649610187413324023392898476545340427883112613774986326"", ""62493775000370356148574211559369877711270779466161688212237380378779745109954""]"
2026-09-09T04:35:31.768920+00:00,London,0x1b5f029a8eea8a2c8099cb25e74ead4b6e4511906a1fc61f9e1ef983b7b260db,Will the lowest temperature in London be 15°C on September 9?,True,False,2026-09-09,2026-09-07,171.88799999999998,109.998,7190.76705,,1788929077000,,0.999,0.001,,8438.79,0.0,0.013885,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""25102723696315782025403950912544408195261151695429040059519348604729763135881"", ""22505706973862572622581544754200596912549118534994473370688814172408046127631""]"
2026-09-09T04:35:31.768938+00:00,London,0xb6f265a002e0cf87b514cd12004e73ebdd5f6e15f06b8294d1418ddf4c6d47e6,Will the lowest temperature in London be 16°C or higher on September 9?,True,False,2026-09-09,2026-09-07,119.99799999999999,104.998,7546.4299,,1788928418428,,0.999,0.001,,10371.98,0.0,0.0132,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""64470772386298992613000463303164780570670454616665536063966114806755285431916"", ""12005151711260613652803367095685314989501278859918104669309246288649589310397""]"
