fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-08-26T02:08:15.128200+00:00,Seattle,0x63b3517f1e991b0e0371d1d9f151830df30fe6e20dd58194e0ea97d99e83fb0e,Will the highest temperature in Seattle be 77°F or below on August 25?,True,False,2026-08-25,2026-08-24,314.8516,93.42,12769.20948,,1787710186213,,0.999,0.001,,9445.57,0.0,0.007876,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""93615367478232002496026725455512398186019796450834379917633154205513287274556"", ""12180598343485513306354658057055656904186995553930322018088039949375688359175""]"
2026-08-26T02:08:15.128237+00:00,Seattle,0xc515df3b74c0b138ec2d30d16e5669b8c5fcf103f7e5a1584686f07ade32c4d9,Will the highest temperature in Seattle be between 78-79°F on August 25?,True,False,2026-08-25,2026-08-24,1164.764299,821.269666,13138.43625,,1787710186699,,0.999,0.001,,9522.29,0.0,0.007666,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""22908956046764125181800223780207262588589215408797996031764054750040823944799"", ""62267873326414374710043242107296066067359418177025897785704482906758788058173""]"
2026-08-26T02:08:15.128259+00:00,Seattle,0x6e1d0edb9867bb17a3d66c7a1d9a47019e9f25080ece8eb1c469fbb5fb36479d,Will the highest temperature in Seattle be between 80-81°F on August 25?,True,False,2026-08-25,2026-08-24,3844.0593099999996,2767.6882720000003,13080.3703,,1787710187310,,0.999,0.001,,11457.49,0.0,0.007752,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""64786292588947962876466489059121196239205516173390719155452789391664733603335"", ""55220202610857015845992435388506601537519011118932293495979194224361673739929""]"
2026-08-26T02:08:15.128277+00:00,Seattle,0x3634449aaa022206e8ebcb7a322ea42673d72f303341115c1b1df0f196225e72,Will the highest temperature in Seattle be between 82-83°F on August 25?,True,False,2026-08-25,2026-08-24,4316.619328,3990.120748,10966.694,,1787709879427,,0.999,0.001,,11755.24,0.0,0.009256,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""16903022255201118846878157123011097116587600217040207996342353674483041653557"", ""110037277606417826408662386620240061935239477549289767884526932188094747324605""]"
2026-08-26T02:08:15.128288+00:00,Seattle,0x14337df5a0157b9a146db0d0629b3fa47a2a9bc9ee1930ceab123df5797223e7,Will the highest temperature in Seattle be between 84-85°F on August 25?,True,False,2026-08-25,2026-08-24,5518.672007,4889.211513,1436.73311,,1787710189022,0.999,,,0.001,0.0,10539.0,,0.053371,"{""Yes"": 0.9995, ""No"": 0.0005}","[""103102168991575205602968548385690633880612278397700223875733009905061386509563"", ""87180591546095160930309282836829116178304884805478569930249434347915488295902""]"
2026-08-26T02:08:15.128300+00:00,Seattle,0xa2c7abdac9e2e288d3422ab926a54c2c47f65f4320f6798b8e93f21a7b9202ef,Will the highest temperature in Seattle be between 86-87°F on August 25?,True,False,2026-08-25,2026-08-24,6723.202754000001,5773.039156000001,1251.74381,,1787710187991,,0.998,0.002,,11551.19,0.0,0.070708,,"{""Yes"": 0.001, ""No"": 0.999}","[""78539839620924858859372371077472360004104189878033603788191517735961785499611"", ""45234588382428380381594546799260134764390962174316766050137501595203337228830""]"
2026-08-26T02:08:15.128311+00:00,Seattle,0x811ec6662e0c15c5fc2a8062e2d84b315dfc77e3a031618142a083ec46d455fd,Will the highest temperature in Seattle be between 88-89°F on August 25?,True,False,2026-08-25,2026-08-24,2796.7562709999997,2538.256296,1852.92734,,1787710187845,,0.999,0.001,,9236.4,0.0,0.052417,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""91695612314119290741338249123390202317628773784153162580781534577158728896239"", ""76286627308999760376787315015638595818591673239973059418570171669599025428779""]"
2026-08-26T02:08:15.128322+00:00,Seattle,0xd4dd6661f5e9d7ce62377db71c6a69c174f89bc019d80a643a2716e1a1392ff1,Will the highest temperature in Seattle be between 90-91°F on August 25?,True,False,2026-08-25,2026-08-24,1809.243361,1715.243361,2383.72383,,1787710188342,,0.999,0.001,,9422.88,0.0,0.040996,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""84009184833989032942782120266593699797290746742391737967323212397482073091995"", ""95567880699849206315508944876490943664036702500727341040275725320559117875775""]"
2026-08-26T02:08:15.128332+00:00,Seattle,0xddb856510c4e6eccfe9eb25a2c755818a14c52dbc391907498839431c262e81f,Will the highest temperature in Seattle be between 92-93°F on August 25?,True,False,2026-08-25,2026-08-24,338.993616,161.998616,1248.96845,,1787710188846,,0.999,0.001,,6860.52,0.0,0.071981,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""4279752378378830074361369362803520079868421668215677776801195883896080572416"", ""50916265861089460193091467100627938230121215976282118972071405056304599681241""]"
2026-08-26T02:08:15.128343+00:00,Seattle,0x21a3274286015e462cffe0e4373e28a3322afe4f422524ada24345ee9b275655,Will the highest temperature in Seattle be between 94-95°F on August 25?,True,False,2026-08-25,2026-08-24,311.983,0.0,1520.05806,,1787710189388,,0.999,0.001,,6824.83,0.0,0.060582,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""24844118281259421688735555319155372416165923358225944712723445092123487032998"", ""23610392035834203080580000061052662532079100481167952027241440975838288770642""]"
2026-08-26T02:08:15.128360+00:00,Seattle,0x905b9e37554a19d60c1d41d1af42c26365753100d1ded04469d1e8dfe46eb02e,Will the highest temperature in Seattle be 96°F or higher on August 25?,True,False,2026-08-25,2026-08-24,323.995,0.0,2063.89975,,1787710189907,,0.999,0.001,,6833.4,0.0,0.044407,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""66505841965300821739449813470945745795454673353050869139570217945554664485230"", ""79515053232816496767518019913037613902297670564404744741208479097863477018670""]"
2026-08-26T02:08:15.128375+00:00,Seattle,0x501312e9f6f93adacd8a279438a942fbad25fa4987fc097543c8dfd8bdfbf3a1,Will the lowest temperature in Seattle be 49°F or below on August 25?,True,False,2026-08-25,2026-08-24,16.41,0.0,650.52697,,1787710185505,0.001,0.995,0.005,0.999,1549.98,84.92,0.134291,,"{""Yes"": 0.003, ""No"": 0.997}","[""99191877848682252772444960465150393840112041331211985769563947836411926314832"", ""22650059443885020628293602781992511043156779471585813399223151617491177724205""]"
2026-08-26T02:08:15.128391+00:00,Seattle,0x29480f65505dc82d4dde52e6027253956f524080710d1dc47bb269b279f9ce84,Will the lowest temperature in Seattle be between 50-51°F on August 25?,True,False,2026-08-25,2026-08-24,10.0,0.0,107.61,,1787710134820,,0.84,0.16,,164.25,0.0,0.45721,,"{""Yes"": 0.08, ""No"": 0.92}","[""35691865122501135517577549236345204121388594009183762067904301868096156988983"", ""73568644536194566603504655589727077275755020434455202532154497712661362512113""]"
2026-08-26T02:08:15.128406+00:00,Seattle,0x36c47041e7ff8c64ebe3908987122ffca97ac66ab86a23244fec23cbcb2602b1,Will the lowest temperature in Seattle be between 52-53°F on August 25?,True,False,2026-08-25,2026-08-24,30.0,0.0,19.14,,1787709907330,,0.84,0.16,,194.64,0.0,0.844566,,"{""Yes"": 0.08, ""No"": 0.92}","[""39903885929230295471218906209173139833439783641799208393377828546501756467291"", ""58477858254618821734753312643927560279535282914340300341790531159882521151974""]"
2026-08-26T02:08:15.128421+00:00,Seattle,0x35a2ca7d1d56e46938aa16bbb27b3943d30f1b461835b87a4f7b63cc83fb83a4,Will the lowest temperature in Seattle be between 54-55°F on August 25?,True,False,2026-08-25,2026-08-24,55.67345,25.0,30.0798,,1787709896000,,0.82,0.18,,123.59,0.0,0.735335,,"{""Yes"": 0.09, ""No"": 0.91}","[""63416852042464253928361163043022997861356432937997551715229807169906475675537"", ""94673584407157414900739859954590879429767594255157342049901640607819432162134""]"
2026-08-26T02:08:15.128437+00:00,Seattle,0x91429a271c960c83b56eaa14ec8add7a421af0267913959c511c339cfd502432,Will the lowest temperature in Seattle be between 56-57°F on August 25?,True,False,2026-08-25,2026-08-24,28.6087,28.6087,18.2692,,1787710183383,0.01,0.51,0.49,0.99,145.88,3.62,0.808341,,"{""Yes"": 0.185, ""No"": 0.815}","[""94939387735067619615893996616669242097574939118203305593360507265793950483540"", ""96438468330295033541992674930265290632166991363462855770046082340740139093760""]"
2026-08-26T02:08:15.128452+00:00,Seattle,0xeefa7c780de9707ababaf10c3cb85e9cb8972ac579dedbf5f8fa33514d49f7cf,Will the lowest temperature in Seattle be between 58-59°F on August 25?,True,False,2026-08-25,2026-08-24,0.0,0.0,25.4413,,1787710150576,0.03,0.57,0.43,0.97,275.0,31.62,0.797655,,"{""Yes"": 0.24, ""No"": 0.76}","[""50691934501904545833660610567753148608906562482480080923764062253932389815675"", ""85952964300420386476770741698788772533836703879671776313933046598025092983761""]"
2026-08-26T02:08:15.128467+00:00,Seattle,0x0ead3bf50287e99926f1be933348005a820ab0e8781fe7e2691c12e25e0af07e,Will the lowest temperature in Seattle be between 60-61°F on August 25?,True,False,2026-08-25,2026-08-24,32.08352,30.0,22.3954,,1787710078647,0.8,0.02,0.98,0.2,178.0,37.87,0.988024,,"{""Yes"": 0.89, ""No"": 0.11}","[""113881098262554361093043591386805959225358889538259116027408788516888669344619"", ""85215698169532816891366225299882074870790124873331226488655843101439094286078""]"
2026-08-26T02:08:15.128482+00:00,Seattle,0x51d219050fbb12dea7c30813b86828d100ab1c696f9aa403a451cf0594eb121c,Will the lowest temperature in Seattle be between 62-63°F on August 25?,True,False,2026-08-25,2026-08-24,326.70220000000006,273.58,6702.65838,,1787709913692,,0.999,0.001,,6583.52,0.0,0.015057,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""83425022773248484442709207609164845599376083524952385482263499431916381782622"", ""15195316365688506489185758786028068414585106813462094172162428205132851611474""]"
2026-08-26T02:08:15.128496+00:00,Seattle,0x70e00be70e2a5ae6369ac7b769eda43b6a2ffdddf185bb611fa8f232bb4a03bb,Will the lowest temperature in Seattle be between 64-65°F on August 25?,True,False,2026-08-25,2026-08-24,52.929700000000004,32.95,6145.97189,,1787710185505,,0.999,0.001,,435.43,0.0,0.015999,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""67631422068148232273424501985815244219559518232728947124462698075870432631889"", ""68575389841119655700168181434255244121004300384387318832192118351713551214341""]"
2026-08-26T02:08:15.128511+00:00,Seattle,0x6f8ef70951a67afe3f1509f55bae47ad94a7e45bea43ec3e768c730d77b512ae,Will the lowest temperature in Seattle be between 66-67°F on August 25?,True,False,2026-08-25,2026-08-24,119.977,107.27,9174.2088,,1787710059000,,0.999,0.001,,6621.1,0.0,0.011003,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""102860071902845152026465233688853912946651818346512557733748087766037993179161"", ""105045505102243785396280226589596854230533429982334302239343788840057907991564""]"
2026-08-26T02:08:15.128526+00:00,Seattle,0xb16caf47040e558c3636384484abc0d1dd97e820c7812d54a0a0bf1a493a89ab,Will the lowest temperature in Seattle be 68°F or higher on August 25?,True,False,2026-08-25,2026-08-24,124.97200000000001,111.56,9163.45,,1787709793235,,0.999,0.001,,6599.26,0.0,0.010991,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""109640021620738661177874764091222638934401864190472941449164081700892824808037"", ""20512887347073441105738086349001055919725259131909812947769089420884703958114""]"
2026-08-26T02:08:15.128541+00:00,Seattle,0xeeb1f1215befd157147664e49e953037883447010eb648bcf56524df9f623f18,Will the highest temperature in Seattle be 71°F or below on August 26?,True,False,2026-08-26,2026-08-25,79.02799999999999,79.028,2181.37134,,1787710184395,0.001,0.991,0.009,0.999,1429.3,109.83,0.111188,0.999,"{""Yes"": 0.005, ""No"": 0.995}","[""112237585257421432472992575469416630000468203567617816616336779327256592360776"", ""52760868248286187342634753527777832204107156618374204690102932072785142216460""]"
