fetched_at_utc,city,condition_id,question,active,closed,end_date_iso,start_date_iso,volume_usdc,volume_24h_usdc,liquidity_usdc,market_slug,book_ts,yes_best_bid,no_best_bid,yes_best_ask,no_best_ask,yes_ask_depth_usdc,no_ask_depth_usdc,yes_vwap_buy_100,no_vwap_buy_100,outcome_probs_json,clob_token_ids_json
2026-09-24T04:40:40.575212+00:00,Seoul,0xc22d8b659b2db3de0863d42b6d2116a3e9648f92c59809463173c412b2b41f06,Will the lowest temperature in Seoul (Incheon) be 15°C or below on September 24?,True,False,2026-09-24,2026-09-22,25.0,25.0,1592.22542,,1790225028024,,0.985,0.015,,18477.82,0.0,0.067866,,"{""Yes"": 0.0075, ""No"": 0.9925}","[""68803308833912890750665645193058341318361269144569802614687306757336768370957"", ""71258650988753296051778057209070547377331239766868334918651868702943097248504""]"
2026-09-24T04:40:40.575261+00:00,Seoul,0xc5bd64493f744202351ad4334353a3ca97733e934f8ea99fbd6f5d6972e1900f,Will the lowest temperature in Seoul (Incheon) be 16°C on September 24?,True,False,2026-09-24,2026-09-22,0.0,0.0,215.7912,,1790224868281,,0.98,0.02,,521.05,0.0,0.332422,,"{""Yes"": 0.01, ""No"": 0.99}","[""12250266991440541416128852963565947330707934288399367005389699001870718774712"", ""107514251749720091974024745743962352264950600603383844826757708942098161929695""]"
2026-09-24T04:40:40.575283+00:00,Seoul,0x6cc3a7b5ef13c283598f22d2402bed88dcc08c36a467698a792d4126e9220546,Will the lowest temperature in Seoul (Incheon) be 17°C on September 24?,True,False,2026-09-24,2026-09-22,538.8218380000001,449.387063,662.0007,,1790224868346,,0.999,0.001,,26006.3,0.0,0.27612,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""38834229772495359030407232346968651545211925288389944389190242829373854308763"", ""38557792367052673406953497850056243248271208381873882914322754296688967397596""]"
2026-09-24T04:40:40.575297+00:00,Seoul,0xe67a5386e72097cf4a65ff56081705c658889136188162f81e7ae7c10d02d13f,Will the lowest temperature in Seoul (Incheon) be 18°C on September 24?,True,False,2026-09-24,2026-09-22,337.68017799999996,268.680178,113.7392,,1790224868415,,0.98,0.02,,269.31,0.0,0.4772,,"{""Yes"": 0.01, ""No"": 0.99}","[""93512813937785658381051587674667407586108629373734372455911045258595606532223"", ""79865339144145777316336378135856456635271133134998551457226863211908267375010""]"
2026-09-24T04:40:40.575309+00:00,Seoul,0xfea8af26fc5df3634b442a45cc084fc00ddf3f7e68bfafc017be444d52824d72,Will the lowest temperature in Seoul (Incheon) be 19°C on September 24?,True,False,2026-09-24,2026-09-22,3223.138171,2156.650633,109.1576,,1790224866177,0.98,,,0.02,0.0,1161.23,,0.431093,"{""Yes"": 0.99, ""No"": 0.01}","[""57804088439937054529656480693525144655194708920574221266670904455946472322703"", ""93937163524016650781820867828912250123986113666807312539630999387751951011353""]"
2026-09-24T04:40:40.575320+00:00,Seoul,0xacd2625647f4321fac6c6957b8867102cb5c2501870b41b577d23bfab903d856,Will the lowest temperature in Seoul (Incheon) be 20°C on September 24?,True,False,2026-09-24,2026-09-22,2389.303527,1901.0746960000001,11869.52246,,1790225330415,,0.999,0.001,,46715.45,0.0,0.011411,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""60051838666027086632217303495593022944915172370224881412857691784587366313984"", ""102171357350939114979147407572961581514634968673228730724066103430377354086756""]"
2026-09-24T04:40:40.575332+00:00,Seoul,0x6921c723d2eba23a40724c1a3856aa820cba25ab1eeafa47a456f00af9c6ad20,Will the lowest temperature in Seoul (Incheon) be 21°C on September 24?,True,False,2026-09-24,2026-09-22,842.0046090000001,576.8686170000001,11289.45792,,1790225370066,,0.999,0.001,,34780.26,0.0,0.011575,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""68389920858976087509924961710522904599305780900263392071666940512335236407723"", ""106642861371043761845553499775214692240720145433659548319223548812371827305457""]"
2026-09-24T04:40:40.575346+00:00,Seoul,0x8ea70d86f1d73bd036f30ea1557d6cc764a938bb829712905c5d008e51f450ab,Will the lowest temperature in Seoul (Incheon) be 22°C on September 24?,True,False,2026-09-24,2026-09-22,115.0,62.0,9734.95594,,1790224836280,,0.999,0.001,,24505.99,0.0,0.010525,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""36422225730764173310341321283477200060701643209575238209529335952946370229864"", ""14198750531389221839367704004212209698582743927997698880740434441441373483848""]"
2026-09-24T04:40:40.575357+00:00,Seoul,0xf9b2009dc991f6e48ea77339c8a1bbbe4bb7a98c274b9543eb6862af9c591199,Will the lowest temperature in Seoul (Incheon) be 23°C on September 24?,True,False,2026-09-24,2026-09-22,65.0,65.0,9574.50657,,1790225027687,,0.999,0.001,,18118.25,0.0,0.010523,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""46793649170668722832585680722623343697431376161323520483377958726847207524844"", ""3922571637670850144875060037021329847512868235810821761550292385241901299654""]"
2026-09-24T04:40:40.575369+00:00,Seoul,0xbc02f2a9f57d3d61e8faeb123a22a9670af7c368801c1777c42384c0b577c572,Will the lowest temperature in Seoul (Incheon) be 24°C on September 24?,True,False,2026-09-24,2026-09-22,15.0,15.0,10351.75698,,1790224861163,,0.999,0.001,,17966.46,0.0,0.009752,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""4174144689423144995771978674607735833964421203833185109223192234033158514108"", ""108704578182075675030231891908014775916850629149825082591894420130665140722696""]"
2026-09-24T04:40:40.575379+00:00,Seoul,0x8921a32ebb0c35022688a2b6189951d8ca78aa7fc9ff85bd9168c8a0f0a7f921,Will the lowest temperature in Seoul (Incheon) be 25°C or higher on September 24?,True,False,2026-09-24,2026-09-22,25.0,25.0,10503.31662,,1790225382177,,0.999,0.001,,18130.81,0.0,0.009683,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""101565412984626527750506721598364849235111643301822826360514125414004072638250"", ""85877341534255301830789222197304175961408598078185411090402077205655378897869""]"
2026-09-24T04:40:40.575389+00:00,Seoul,0x7277947edbe87dc7f820c73fafec55afdb63ef4855af5dd44809c35ff3d06853,Will the highest temperature in Seoul (Incheon) be 20°C or below on September 24?,True,False,2026-09-24,2026-09-22,343.5,0.0,19591.92224,,1790225268760,,0.999,0.001,,6603.32,0.0,0.005166,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""31312045953694137687971295747328401584311570418630704900833515160816084782440"", ""111724955162679331425035644780456729371192415080255941617379183047562128343070""]"
2026-09-24T04:40:40.575398+00:00,Seoul,0x6ec243d05547dbb9ca725797a52c57363e954c61862eb046eac12effb7f81afa,Will the highest temperature in Seoul (Incheon) be 21°C on September 24?,True,False,2026-09-24,2026-09-22,356.247884,0.0,20082.39016,,1790225374000,,0.999,0.001,,8951.95,0.0,0.005012,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""3267766192252268763292450882541769275700257390977601450329242142083587984451"", ""49938755364306556860042336088252531558266296876319491057008669218562019751126""]"
2026-09-24T04:40:40.575409+00:00,Seoul,0x083c6fbdacaf51cbd7365d0c6f7f7c866b72baf5754c3f7aed1a4c87e186a20a,Will the highest temperature in Seoul (Incheon) be 22°C on September 24?,True,False,2026-09-24,2026-09-22,989.9963019999999,376.62820199999993,19806.063,,1790225374000,,0.999,0.001,,12289.04,0.0,0.005071,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""109751736075277938855165370597924504940648286238848996559591910978029850443959"", ""29922975868794858160254850471371224433235374458765490417012967821861049015124""]"
2026-09-24T04:40:40.575418+00:00,Seoul,0x0962d3b74bf1d99ea025cd8a81d1f424bf7f574d7954d1db5e3cf95562d53069,Will the highest temperature in Seoul (Incheon) be 23°C on September 24?,True,False,2026-09-24,2026-09-22,2365.517384,1841.4699,20313.19809,,1790225374000,,0.999,0.001,,20753.54,0.0,0.00503,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""95425626822138157470790009732882049257332113146500734948183110959768383265253"", ""27832841364990400895051761843005058446934148470151999384253711780833777785079""]"
2026-09-24T04:40:40.575428+00:00,Seoul,0x2af3d948a688b26bfccb12f1fa0942a09ed9a8b6b06adab4991e599ebada6232,Will the highest temperature in Seoul (Incheon) be 24°C on September 24?,True,False,2026-09-24,2026-09-22,10049.385393,7103.607984000001,20448.44811,,1790225374000,,0.999,0.001,,24805.59,0.0,0.004935,,"{""Yes"": 0.0005, ""No"": 0.9995}","[""58897395747756265728848155728561875855316547446977465642072819215215007714948"", ""75180176920500382703277654765208341301030998463738898146053135961817841744979""]"
2026-09-24T04:40:40.575455+00:00,Seoul,0x29e08db2a6b5e23d2ca6ef5ea3d16ede5d36b4fa3738b39dabed1b75a4f6c16b,Will the highest temperature in Seoul (Incheon) be 25°C on September 24?,True,False,2026-09-24,2026-09-22,11252.549817,9449.150357999995,276.1085,,1790225368251,0.92,0.03,0.97,0.08,495.61,1220.74,0.974271,0.304212,"{""Yes"": 0.955, ""No"": 0.045}","[""80951396733995002201572438858468068847080801086249556629771957569790778625667"", ""109671739404022605251762604726439737922570482914971179969636293896823377264888""]"
2026-09-24T04:40:40.575467+00:00,Seoul,0xef5f4d591d72f0ddd365461fadaf913414e5d5c31597d479fec81675c6b60bca,Will the highest temperature in Seoul (Incheon) be 26°C on September 24?,True,False,2026-09-24,2026-09-22,6469.220778,4545.974888000001,377.7976,,1790225380220,0.02,0.94,0.06,0.98,1135.4,478.99,0.324799,0.98,"{""Yes"": 0.05, ""No"": 0.95}","[""64957802407642236471349189206080776656839560091806873190490449524408397096790"", ""114433287862641385516070380581360455734885504971277651866578812095696044116021""]"
2026-09-24T04:40:40.575478+00:00,Seoul,0xeb111dc96f1baf5b1ca500be2d2336f74dae918b850695d4bee0f3c262fff3ad,Will the highest temperature in Seoul (Incheon) be 27°C on September 24?,True,False,2026-09-24,2026-09-22,6467.816352999999,5846.463162000003,1045.7774,,1790225381994,0.002,0.99,0.01,0.998,26150.41,523.98,0.191595,0.998,"{""Yes"": 0.01, ""No"": 0.99}","[""90230261255146767483097861938821610965159569227105151271027018462009421056610"", ""31042265232075825884413536157049023985290745749893336302195418655529756289355""]"
