city,fetched_at_utc,date_local,date_utc,tmax_ecmwf,tmax_gfs,tmax_icon,tmax_jma
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-04,2026-07-03T16:00:00+00:00,28.1,29.0,28.3,28.6
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-05,2026-07-04T16:00:00+00:00,28.5,29.0,29.5,29.6
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-06,2026-07-05T16:00:00+00:00,28.7,28.8,30.4,29.4
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-07,2026-07-06T16:00:00+00:00,28.9,27.8,29.4,28.7
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-08,2026-07-07T16:00:00+00:00,30.0,29.5,29.0,30.0
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-09,2026-07-08T16:00:00+00:00,29.6,30.0,30.7,30.7
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-10,2026-07-09T16:00:00+00:00,31.8,31.0,,33.3
Hong Kong,2026-07-03T16:07:30.371354+00:00,2026-07-11,2026-07-10T16:00:00+00:00,31.6,35.5,,33.3
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-04,2026-07-03T16:00:00+00:00,27.4,29.6,28.5,29.8
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-05,2026-07-04T16:00:00+00:00,30.0,28.8,28.9,29.6
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-06,2026-07-05T16:00:00+00:00,28.8,28.7,29.0,29.4
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-07,2026-07-06T16:00:00+00:00,28.2,27.8,28.7,28.6
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-08,2026-07-07T16:00:00+00:00,29.5,30.0,28.6,30.2
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-09,2026-07-08T16:00:00+00:00,29.1,30.4,30.5,31.0
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-10,2026-07-09T16:00:00+00:00,31.0,31.5,32.4,33.3
Hong Kong,2026-07-04T04:07:30.956386+00:00,2026-07-11,2026-07-10T16:00:00+00:00,31.3,34.9,,33.5
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-05,2026-07-04T16:00:00+00:00,30.2,29.2,30.0,30.2
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-06,2026-07-05T16:00:00+00:00,30.0,29.4,29.9,29.7
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-07,2026-07-06T16:00:00+00:00,29.3,28.8,28.4,28.3
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-08,2026-07-07T16:00:00+00:00,29.7,30.1,28.5,29.0
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-09,2026-07-08T16:00:00+00:00,30.4,30.5,30.3,31.0
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-10,2026-07-09T16:00:00+00:00,32.5,31.1,32.6,33.3
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-11,2026-07-10T16:00:00+00:00,31.7,35.2,,35.6
Hong Kong,2026-07-04T16:07:34.436199+00:00,2026-07-12,2026-07-11T16:00:00+00:00,30.0,30.4,,31.8
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-05,2026-07-04T16:00:00+00:00,30.2,29.6,30.7,30.2
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-06,2026-07-05T16:00:00+00:00,30.0,28.8,28.7,29.7
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-07,2026-07-06T16:00:00+00:00,29.3,28.5,28.2,28.3
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-08,2026-07-07T16:00:00+00:00,29.7,29.9,29.0,29.0
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-09,2026-07-08T16:00:00+00:00,30.4,30.5,30.0,31.0
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-10,2026-07-09T16:00:00+00:00,32.5,32.1,34.0,33.3
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-11,2026-07-10T16:00:00+00:00,31.7,35.2,32.3,35.6
Hong Kong,2026-07-04T20:07:51.282117+00:00,2026-07-12,2026-07-11T16:00:00+00:00,30.0,30.8,,31.8
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-05,2026-07-04T16:00:00+00:00,29.9,29.6,30.7,29.9
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-06,2026-07-05T16:00:00+00:00,29.3,28.8,28.7,29.1
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-07,2026-07-06T16:00:00+00:00,28.1,28.5,28.2,28.5
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-08,2026-07-07T16:00:00+00:00,29.9,29.9,29.0,29.7
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-09,2026-07-08T16:00:00+00:00,30.2,30.5,30.0,31.1
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-10,2026-07-09T16:00:00+00:00,31.6,32.1,34.0,33.4
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-11,2026-07-10T16:00:00+00:00,31.6,35.2,32.3,35.7
Hong Kong,2026-07-04T22:07:42.402065+00:00,2026-07-12,2026-07-11T16:00:00+00:00,30.2,30.8,,32.0
