city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,bin_temp_c,forecast_mu,forecast_sigma,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,liquidity,volume_24h,day_kl_div,n_bins,market_mode_c,forecast_mode_c,mode_shift_c
HK,hong_kong,0xb443c3a6fde55c09f7c3db3ececccd7c6607ff6d2e90570fef6f0b07db14ba0e,Will the highest temperature in Hong Kong be 26°C on March 18?,2026-03-19,2026-03-18 08:11:21.603500+00:00,0.66,26.0,27.1,0.8,0.2949,0.0028,0.0015,0.292,0.292,Yes,0.2949,0.0028,2249.81718,9763.250503,1.1558,4,27.0,27.1,0.1
HK,hong_kong,0x8d708d71dc68dcc6bf0af90c84df8ccf69492993cc1854b0f091780ac904e821,Will the highest temperature in Hong Kong be 24°C on March 18?,2026-03-19,2026-03-18 08:11:21.603500+00:00,0.66,24.0,27.1,0.8,0.0008,0.0094,0.005,-0.0086,0.0086,No,0.9992,0.9906,2209.53551,9487.130976,1.1558,4,27.0,27.1,0.1
HK,hong_kong,0x866a160cbeac60cb6a02dd666ff5f29315b602fd395ba5993a57a8dbf0b0f3bd,Will the highest temperature in Hong Kong be 25°C on March 18?,2026-03-19,2026-03-18 08:11:21.603500+00:00,0.66,25.0,27.1,0.8,0.0321,0.0094,0.005,0.0227,0.0227,Yes,0.0321,0.0094,2164.5185,8522.846533000002,1.1558,4,27.0,27.1,0.1
HK,hong_kong,0xf1ec7947fe462b705dde3f0e06e45aeab35e52938b602335003a4d484223005a,Will the highest temperature in Hong Kong be 27°C on March 18?,2026-03-19,2026-03-18 08:11:21.603500+00:00,0.66,27.0,27.1,0.8,0.6723,0.9784,0.52,-0.3061,0.3061,No,0.3277,0.0216,408.9231,7770.669707000001,1.1558,4,27.0,27.1,0.1
HK,hong_kong,0x2f9c0df936cace170f172584665399bc54d292e229bf7e5544a10cb72461591d,Will the highest temperature in Hong Kong be 22°C on March 19?,2026-03-20,2026-03-17 23:13:55.703395+00:00,2.03,22.0,24.0,1.6,0.9064,0.7362,0.06,0.1702,0.1702,Yes,0.9064,0.7362,609.2146,75.66507299999999,0.0915,2,22.0,24.0,2.0
HK,hong_kong,0xe93c39bcaaa083166b263041534571ddb1de5a3f59856b44682039eca9746a84,Will the highest temperature in Hong Kong be 20°C on March 19?,2026-03-20,2026-03-17 23:13:55.703395+00:00,2.03,20.0,24.0,1.6,0.0936,0.2638,0.0215,-0.1702,0.1702,No,0.9064,0.7362,604.26738,69.31,0.0915,2,22.0,24.0,2.0
HK,hong_kong,0x32e6477db604436c7df167601743433959734d90991bafc17871607a04fdcea4,Will the highest temperature in Hong Kong be 28°C or higher on March 19?,2026-03-20,2026-03-17 23:13:55.703395+00:00,2.03,28.0,24.0,1.6,0.0062,0.275,0.275,-0.2688,0.2688,No,0.9938,0.725,664.5732,955.575792,0.0915,2,22.0,24.0,2.0
HK,hong_kong,0x2f9c0df936cace170f172584665399bc54d292e229bf7e5544a10cb72461591d,Will the highest temperature in Hong Kong be 22°C on March 19?,2026-03-20,2026-03-17 23:24:12.242844+00:00,2.02,22.0,24.0,1.6,0.9064,0.7143,0.06,0.1921,0.1921,Yes,0.9064,0.7143,573.1731,75.66507299999999,0.1114,2,22.0,24.0,2.0
HK,hong_kong,0xe93c39bcaaa083166b263041534571ddb1de5a3f59856b44682039eca9746a84,Will the highest temperature in Hong Kong be 20°C on March 19?,2026-03-20,2026-03-17 23:24:12.242844+00:00,2.02,20.0,24.0,1.6,0.0936,0.2857,0.024,-0.1921,0.1921,No,0.9064,0.7143,555.65376,69.31,0.1114,2,22.0,24.0,2.0
HK,hong_kong,0x32e6477db604436c7df167601743433959734d90991bafc17871607a04fdcea4,Will the highest temperature in Hong Kong be 28°C or higher on March 19?,2026-03-20,2026-03-17 23:24:12.242844+00:00,2.02,28.0,24.0,1.6,0.0062,0.29,0.29,-0.2838,0.2838,No,0.9938,0.71,535.8606,843.955792,0.1114,2,22.0,24.0,2.0
HK,hong_kong,0x2f9c0df936cace170f172584665399bc54d292e229bf7e5544a10cb72461591d,Will the highest temperature in Hong Kong be 22°C on March 19?,2026-03-20,2026-03-18 08:11:21.603531+00:00,1.66,22.0,24.1,1.2,0.6814,0.0547,0.0165,0.6267,0.6267,Yes,0.6814,0.0547,507.07019,894.1146729999999,1.6556,5,27.0,24.1,-2.9
HK,hong_kong,0xc18297b11143e18625fe2c034fe6eace51adfda677eae436d14c78ae6e901472,Will the highest temperature in Hong Kong be 21°C on March 19?,2026-03-20,2026-03-18 08:11:21.603531+00:00,1.66,21.0,24.1,1.2,0.1234,0.0182,0.0055,0.1052,0.1052,Yes,0.1234,0.0182,1182.83421,841.6596159999999,1.6556,5,27.0,24.1,-2.9
HK,hong_kong,0x86e66c0c37449210c63eead3473f73be16d24679123200f32c448c43a92e532b,Will the highest temperature in Hong Kong be 27°C on March 19?,2026-03-20,2026-03-18 08:11:21.603531+00:00,1.66,27.0,24.1,1.2,0.1831,0.8955,0.27,-0.7124,0.7124,No,0.8169,0.1045,220.4332,713.679198,1.6556,5,27.0,24.1,-2.9
HK,hong_kong,0xe93c39bcaaa083166b263041534571ddb1de5a3f59856b44682039eca9746a84,Will the highest temperature in Hong Kong be 20°C on March 19?,2026-03-20,2026-03-18 08:11:21.603531+00:00,1.66,20.0,24.1,1.2,0.0115,0.0199,0.006,-0.0084,0.0084,No,0.9885,0.9801,473.36155,790.906855,1.6556,5,27.0,24.1,-2.9
HK,hong_kong,0xe1872ce3cd5fa6de4b9979dc8a13d0737944c8283df39ae9ba349f0d5787dc5b,Will the highest temperature in Hong Kong be 19°C on March 19?,2026-03-20,2026-03-18 08:11:21.603531+00:00,1.66,19.0,24.1,1.2,0.0006,0.0116,0.0035,-0.0111,0.0111,No,0.9994,0.9884,1574.30775,247.224633,1.6556,5,27.0,24.1,-2.9
HK,hong_kong,0xbb60da9b993fac89982b6539becb8a8c68d5a22752a4de5266b40cbbb488c7cc,Will the highest temperature in Hong Kong be 18°C on March 21?,2026-03-21,2026-03-19 12:05:31.408246+00:00,1.5,18.0,26.0,1.2,0.0,0.0779,0.006,-0.0779,0.0779,No,1.0,0.9221,2658.79647,139.784209,0.1693,3,26.0,26.0,0.0
HK,hong_kong,0x086fac4b61a7a77c55432149926f72b0c62ad2bdf64baed9ec1514d5c4d4bc1f,Will the highest temperature in Hong Kong be 26°C on March 21?,2026-03-21,2026-03-19 12:05:31.408246+00:00,1.5,26.0,26.0,1.2,1.0,0.8442,0.065,0.1558,0.1558,Yes,1.0,0.8442,486.7693,568.156074,0.1693,3,26.0,26.0,0.0
