city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,forecast_mu,forecast_sigma,forecast_nu,sigma_boost,sigma_source,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,ema_momentum,total_drift,last_delta,forecast_var,volume_recency,market_mkt_mom,hours_since_move,is_stale,pmf_consistency,pmf_sum_dev,liquidity,volume_24h,n_exact_bins,market_mode_c,mode_shift_c,bin_temp_c,alpha_score,kelly,ev_per_dollar,group_key,forecast_floor,forecast_ceiling,temp_lo_c,temp_hi_c,model_prob_side,shrink_weight
Chicago,chicago,0xdc5b98a04a5336166805bfb299fa75e3092c2d2b75f61314cd7cea31660c7954,Will the highest temperature in Chicago be between 62-63°F on March 20?,2026-03-20,2026-03-17 23:11:25.584118+00:00,2.03,20.39,2.032,10.8,0.209,emos_v2,0.0457,0.16,0.16,0.1143,0.1143,No,0.9543,0.84,0.0,0.0,0.0,0.0,0.969,0.0,0.0,False,1.0,1.0,1445.5233,949.7203780000002,0,20.39397022390541,0.0,16.944444444444443,0.032417,0.08,0.136,chicago|2026-03-20,,,16.667,17.222,0.9543,1.0
Chicago,chicago,0xdc5b98a04a5336166805bfb299fa75e3092c2d2b75f61314cd7cea31660c7954,Will the highest temperature in Chicago be between 62-63°F on March 20?,2026-03-20,2026-03-17 23:21:40.664373+00:00,2.03,20.39,2.032,10.8,0.209,emos_v2,0.0457,0.145,0.145,0.0993,0.0993,No,0.9543,0.855,0.0,0.0,0.0,0.0,0.969,-0.015,0.17,False,1.0,1.0,1456.5639,956.7103780000002,0,20.39397022390541,0.0,16.944444444444443,0.02819,0.08,0.1161,chicago|2026-03-20,,,16.667,17.222,0.9543,1.0
Chicago,chicago,0xe4c5335bb54274a49204880da50bf1b75a2b05b36a87c6b8dd7c96a833644b3f,Will the highest temperature in Chicago be between 72-73°F on March 22?,2026-03-22,2026-03-18 18:03:06.717443+00:00,3.25,23.63,2.608,5.6,0.391,emos_v2,0.1703,0.03,0.03,0.1403,0.1403,Yes,0.1703,0.03,2.225,8.9,0.0,23.763,1.0,0.0,0.0,False,0.0,1.0,1633.77758,866.227602,0,23.627145262197867,0.0,22.5,0.022903,0.07205774247843467,4.677,chicago|2026-03-22,,,22.222,22.778,0.1703,1.0
Chicago,chicago,0x650119355abedad852e192af9d1a4076d4fe7eb71fb87fe3ea97391810fe1e52,Will the highest temperature in Chicago be between 70-71°F on March 21?,2026-03-21,2026-03-19 18:03:24.624858+00:00,1.25,18.46,1.684,4.7,0.225,emos_v2,0.0412,0.12,0.12,0.0788,0.0788,No,0.9588,0.88,0.55,0.9,1.0,2.3825,0.605,-0.015,6.01,True,1.0,1.0,1395.414,509.709596,0,18.463399482679765,0.0,21.38888888888889,0.02314,0.08,0.0896,chicago|2026-03-21,,,21.111,21.667,0.9588,1.0
Chicago,chicago,0x99269874752dedb9099f4b1b40f87655786d900add0b635d4f770c02e4dd0a59,Will the highest temperature in Chicago be between 72-73°F on March 21?,2026-03-21,2026-03-19 18:03:24.624858+00:00,1.25,18.46,1.684,4.7,0.225,emos_v2,0.0135,0.085,0.085,0.0715,0.0715,No,0.9865,0.915,0.55,0.9,1.0,2.3825,0.695,0.0,0.0,False,1.0,1.0,1640.3958,549.315383,0,18.463399482679765,0.0,22.5,0.025215,0.08,0.0781,chicago|2026-03-21,,,22.222,22.778,0.9865,1.0
Chicago,chicago,0x7a9200694c876ec3579d4b096c4a4167a424e92dc1d176bcc3c4e28093a6709d,Will the highest temperature in Chicago be 35°F or below on March 23?,2026-03-23,2026-03-20 06:03:03.140438+00:00,2.75,4.68,2.608,5.6,0.0,emos_v2,0.1206,0.025,0.025,0.0956,0.0956,Yes,0.1206,0.025,-0.4906,1.3,-1.0,2.9446,1.0,0.0,0.0,False,0.0,1.0,1043.14619,992.776645,0,4.684983912465345,0.0,1.6666666666666667,0.01428,0.04879555206698064,3.8228,chicago|2026-03-23,,,,,0.1206,1.0
Chicago,chicago,0x8934d42f07c856be4bbee610bbe1e1ae63b25cdaf629059247f923783dcfe7ea,Will the highest temperature in Chicago be between 42-43°F on March 23?,2026-03-23,2026-03-21 12:03:05.677685+00:00,1.5,7.04,1.684,4.7,0.0,emos_v2,0.202,0.285,0.285,0.083,0.083,No,0.798,0.715,0.1256,1.3,0.4,2.0649,0.554,0.0,0.0,False,1.0,1.0,1107.7472,382.599581,0,7.038735983905442,0.0,5.833333333333333,0.025373,0.08,0.1161,chicago|2026-03-23,,,5.556,6.111,0.798,1.0
Chicago,chicago,0x41440a76bfdd349cc310216698117f9ffe50d81a782ce6eb1256559e690fc635,Will the highest temperature in Chicago be 63°F or below on March 22?,2026-03-22,2026-03-21 12:03:05.677551+00:00,0.5,9.9,1.684,4.7,0.144,emos_v2,0.9988,0.595,0.595,0.4038,0.4038,Yes,0.9988,0.595,-0.3369,-0.4,0.5,20.478,0.463,0.0,0.0,False,0.0,1.0,2022.669,3746.202910999999,0,9.901056150994734,0.0,17.22222222222222,0.261962,0.08,0.6787,chicago|2026-03-22,,,,,0.9988,1.0
Chicago,chicago,0x0e7633f9535f25fbff483b2a5c343ea57d6b8e71c45c7483fb91f814e7f6ea5b,Will the highest temperature in Chicago be between 54-55°F on March 25?,2026-03-25,2026-03-22 06:03:07.646751+00:00,2.75,17.97,2.608,5.6,0.088,emos_v2,0.0149,0.1,0.1,0.0851,0.0851,No,0.9851,0.9,1.6189,10.3,4.2,10.3403,1.0,0.0,0.0,False,1.0,1.0,1405.9824,843.1440010000002,0,17.966501756062353,0.0,12.5,0.011233,0.08,0.0945,chicago|2026-03-25,,,12.222,12.778,0.9851,1.0
Chicago,chicago,0xd7e69607accb1e14cbb9a0ea73c2d4169a0d36be75fe25f5a7bfcb5d938407eb,Will the highest temperature in Chicago be between 56-57°F on March 25?,2026-03-25,2026-03-22 06:03:07.646751+00:00,2.75,17.97,2.608,5.6,0.088,emos_v2,0.0312,0.19,0.19,0.1588,0.1588,No,0.9688,0.81,1.6189,10.3,4.2,10.3403,1.0,0.0,0.0,False,1.0,1.0,1286.1338,681.6679590000001,0,17.966501756062353,0.0,13.61111111111111,0.020724,0.08,0.1961,chicago|2026-03-25,,,13.333,13.889,0.9688,1.0
