city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,bin_temp_c,forecast_mu,forecast_sigma,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,liquidity,volume_24h,day_kl_div,n_bins,market_mode_c,forecast_mode_c,mode_shift_c,kelly,ev_per_$,score
HK,hong_kong,0x92441b73512f9a9e1fb0494540a9287d78c1f018aa6dbc6999ca5288aad5bbde,Will the highest temperature in Hong Kong be 25°C on March 22?,2026-03-22,2026-03-22 12:05:43.548307+00:00,-0.5,25.0,25.7,0.8,0.399,0.9895,0.9905,-0.5906,0.5906,No,0.601,0.0105,2218.9831,7442.595537,2.102,4,25.0,25.7,0.7,0.14919151086407276,56.238095238095234,inf
HK,hong_kong,0xdb79a414ea684c5abe6ab27be742ff17c17fcbe3fb81db76e8470203059c2f84,Will the highest temperature in Hong Kong be 26°C on March 22?,2026-03-22,2026-03-22 12:05:43.548307+00:00,-0.5,26.0,25.7,0.8,0.5249,0.009,0.009,0.5159,0.5159,Yes,0.5249,0.009,940.69473,5826.570744,2.102,4,25.0,25.7,0.7,0.130146316851665,57.32222222222223,inf
HK,hong_kong,0xa8acc7b7e4b13401b4944c50cc0f8e6d5b76426b9bc9db767a8f096a885b18e2,Will the highest temperature in Hong Kong be 26°C on March 23?,2026-03-23,2026-03-22 06:05:39.838544+00:00,0.75,26.0,27.0,0.8,0.8887,0.2813,0.135,0.6074,0.6074,Yes,0.8887,0.2813,482.3749,635.7568630000001,0.8267,5,25.0,27.0,2.0,0.15,2.159260575897618,3.003370712518236
HK,hong_kong,0xb443c3a6fde55c09f7c3db3ececccd7c6607ff6d2e90570fef6f0b07db14ba0e,Will the highest temperature in Hong Kong be 26°C on March 18?,2026-03-19,2026-03-18 08:11:21.603500+00:00,0.66,26.0,27.1,0.8,0.2949,0.0028,0.0015,0.292,0.292,Yes,0.2949,0.0028,2249.81718,9763.250503,1.1558,4,27.0,27.1,0.1,0.07323004412354592,104.32142857142857,1.9430708596107944
HK,hong_kong,0x2f9c0df936cace170f172584665399bc54d292e229bf7e5544a10cb72461591d,Will the highest temperature in Hong Kong be 22°C on March 19?,2026-03-20,2026-03-18 08:11:21.603531+00:00,1.66,22.0,24.1,1.2,0.6814,0.0547,0.0165,0.6267,0.6267,Yes,0.6814,0.0547,507.07019,894.1146729999999,1.6556,5,27.0,24.1,-2.9,0.15,11.457038391224863,1.8077450499586942
HK,hong_kong,0xf1ec7947fe462b705dde3f0e06e45aeab35e52938b602335003a4d484223005a,Will the highest temperature in Hong Kong be 27°C on March 18?,2026-03-19,2026-03-18 08:11:21.603500+00:00,0.66,27.0,27.1,0.8,0.6723,0.9784,0.52,-0.3061,0.3061,No,0.3277,0.0216,408.9231,7770.669707000001,1.1558,4,27.0,27.1,0.1,0.07821443172526574,14.171296296296296,1.5874899041243051
HK,hong_kong,0x7f25bd946c51904191ae4b698dfcc39ba9db84fbdf445b85bbd87484abe34a8f,Will the highest temperature in Hong Kong be 25°C on March 21?,2026-03-21,2026-03-20 06:05:33.843339+00:00,0.75,25.0,25.0,0.8,0.6643,0.3952,0.315,0.2691,0.2691,Yes,0.6643,0.3952,848.5597,626.403672,0.1732,5,24.0,25.0,1.0,0.11123511904761904,0.680921052631579,1.4520029373846204
HK,hong_kong,0xf4ad571f6354c6f9483f9dfe7dc575ff3ae899d5d9efe3a295fbdd06b160e95c,Will the highest temperature in Hong Kong be 24°C on March 21?,2026-03-21,2026-03-20 06:05:33.843339+00:00,0.75,24.0,25.0,0.8,0.3344,0.5521,0.44,-0.2177,0.2177,No,0.6656,0.4479,628.1691,687.739377,0.1732,5,24.0,25.0,1.0,0.09857815613113563,0.4860459924090197,1.1223567144491227
HK,hong_kong,0x1d3d7a58020e78fbd22d3aea21361a76316d18da130006e41e5553a232a8de9e,Will the highest temperature in Hong Kong be 22°C on March 22?,2026-03-22,2026-03-20 06:05:33.843264+00:00,1.75,22.0,26.3,1.2,0.0756,0.4274,0.1,-0.3518,0.3518,No,0.9244,0.5726,651.3457,82.00975,0.4531,4,23.0,26.3,3.3,0.15,0.614390499476074,1.0132738475523522
HK,hong_kong,0x5b4f7e8fc62a6b114500b1e0c2b0ca6eb9fa4261d7f502ed472b0fd65670f262,Will the highest temperature in Hong Kong be 23°C on March 23?,2026-03-23,2026-03-20 12:05:35.063053+00:00,2.5,23.0,26.9,1.6,0.9741,0.5076,0.05,0.4665,0.4665,Yes,0.9741,0.5076,514.7998,69.0556,0.5629,3,23.0,26.9,3.9,0.15,0.9190307328605198,0.971209258736347
