city,city_raw,condition_id,question,target_date,fetched_at,days_ahead,forecast_mu,forecast_sigma,forecast_nu,sigma_boost,sigma_source,forecast_prob,market_prob,market_prob_raw,edge,abs_edge,bet_side,our_prob,their_prob,ema_momentum,total_drift,last_delta,forecast_var,volume_recency,market_mkt_mom,hours_since_move,is_stale,pmf_consistency,pmf_sum_dev,liquidity,volume_24h,n_exact_bins,market_mode_c,mode_shift_c,alpha_score,kelly,ev_per_dollar,group_key,bin_temp_c
Chicago,chicago,0x2ea87293c60b65bcb689674be89c5204df75a15f46302e57ec157e81497425a0,Will the highest temperature in Chicago be 59°F or below on March 21?,2026-03-21,2026-03-20 06:03:03.140460+00:00,0.75,16.4,0.922,12.0,0.222,nwp_table,0.1741,0.0245,0.0245,0.1496,0.1496,Yes,0.1741,0.0245,-0.175,0.0,-0.9,2.1462,0.732,0.0,0.0,False,0.0,1.0,2837.33606,6958.710058999998,0,16.4,0.0,0.116533,0.03833931317273193,6.1074,chicago|2026-03-21,16.4
Chicago,chicago,0x41440a76bfdd349cc310216698117f9ffe50d81a782ce6eb1256559e690fc635,Will the highest temperature in Chicago be 63°F or below on March 22?,2026-03-22,2026-03-21 12:03:05.677551+00:00,0.5,13.7,0.844,12.0,0.144,nwp_table,0.9998,0.595,0.595,0.4048,0.4048,Yes,0.9998,0.595,-0.3369,-0.4,0.5,20.478,0.463,0.0,0.0,False,0.0,1.0,2022.669,3746.202910999999,0,13.7,0.0,0.262611,0.12,0.6803,chicago|2026-03-22,13.7
Chicago,chicago,0x41440a76bfdd349cc310216698117f9ffe50d81a782ce6eb1256559e690fc635,Will the highest temperature in Chicago be 63°F or below on March 22?,2026-03-22,2026-03-21 18:03:08.432334+00:00,0.25,13.4,0.866,12.0,0.166,nwp_table,0.9998,0.61,0.61,0.3898,0.3898,Yes,0.9998,0.61,-0.3184,-0.7,-0.3,19.7164,0.472,0.015,0.0,False,0.0,1.0,988.6083,4427.836200999999,0,13.4,0.0,0.307781,0.12,0.6391,chicago|2026-03-22,13.4
Chicago,chicago,0x47cf273dce7993f3137b505cc706133ce040043940805a4062fddf8b4163a09d,Will the highest temperature in Chicago be 59°F or below on March 26?,2026-03-26,2026-03-22 18:03:06.984598+00:00,3.25,23.8,2.253,5.5,0.253,nwp_table,0.006,0.115,0.115,-0.109,0.109,No,0.994,0.885,2.9002,10.1,3.3,10.2657,1.0,0.0,0.0,False,0.0,1.0,636.0313,88.509796,0,23.8,0.0,0.017875,0.12,0.1232,chicago|2026-03-26,23.8
Chicago,chicago,0x7743ca8c791bb63ce2d1cdd8e89227ec32ac17ee8c90eb2469212d134f0bbafe,Will the highest temperature in Chicago be 54°F or higher on March 23?,2026-03-23,2026-03-20 18:03:05.206967+00:00,2.25,2.5,1.6,6.5,0.0,nwp_table,0.0004,0.0895,0.0895,-0.0891,0.0891,No,0.9996,0.9105,-0.3977,0.8,-0.6,2.4299,0.986,0.0,0.0,False,0.0,1.0,878.5308,864.2296709999999,0,2.5,0.0,0.036712,0.12,0.0978,chicago|2026-03-23,2.5
Chicago,chicago,0x7a9200694c876ec3579d4b096c4a4167a424e92dc1d176bcc3c4e28093a6709d,Will the highest temperature in Chicago be 35°F or below on March 23?,2026-03-23,2026-03-20 06:03:03.140438+00:00,2.75,3.0,1.6,6.5,0.0,nwp_table,0.3099,0.025,0.025,0.2849,0.2849,Yes,0.3099,0.025,-0.4906,1.3,-1.0,2.9446,1.0,0.0,0.0,False,0.0,1.0,1043.14619,992.776645,0,3.0,0.0,0.067617,0.07305128205128206,11.3949,chicago|2026-03-23,3.0
HongKong,hong_kong,0x086fac4b61a7a77c55432149926f72b0c62ad2bdf64baed9ec1514d5c4d4bc1f,Will the highest temperature in Hong Kong be 26°C on March 21?,2026-03-21,2026-03-19 12:05:31.408311+00:00,1.5,26.0,1.2,8.0,0.0,nwp_table,0.3121,0.1544,0.065,0.2471,0.2471,Yes,0.3121,0.065,0.2625,-0.3,0.8,0.247,0.767,0.0,0.0,False,1.0,0.923,486.7693,568.156074,3,26.0,0.0,0.166965,0.06606951871657753,3.8019,hong_kong|2026-03-21,26.0
HongKong,hong_kong,0xa8acc7b7e4b13401b4944c50cc0f8e6d5b76426b9bc9db767a8f096a885b18e2,Will the highest temperature in Hong Kong be 26°C on March 23?,2026-03-23,2026-03-22 06:05:39.838763+00:00,0.75,27.0,0.716,12.0,0.016,nwp_table,0.2201,0.1097,0.135,0.0851,0.0851,Yes,0.2201,0.135,0.0594,0.2,0.2,0.0372,0.872,0.0,0.0,False,1.0,0.52,482.3749,635.7568630000001,5,25.0,2.0,0.064988,0.024595375722543344,0.6305,hong_kong|2026-03-23,27.0
HongKong,hong_kong,0x1d3d7a58020e78fbd22d3aea21361a76316d18da130006e41e5553a232a8de9e,Will the highest temperature in Hong Kong be 22°C on March 22?,2026-03-22,2026-03-20 06:05:33.843600+00:00,1.75,26.3,1.2,8.0,0.0,nwp_table,0.0047,0.2755,0.1,-0.0953,0.0953,No,0.9953,0.9,0.4648,0.8,0.9,0.1388,1.0,-0.105,0.0,False,0.9355,0.766,651.3457,82.00975,4,23.0,3.3,0.042942,0.12,0.1059,hong_kong|2026-03-22,26.3
HongKong,hong_kong,0x97bd1cca9545b176662180fd4a91309b69b7107747ea6eed3b71eb4713e20b73,Will the highest temperature in Hong Kong be 27°C or higher on March 22?,2026-03-22,2026-03-20 06:05:33.843600+00:00,1.75,26.3,1.2,8.0,0.0,nwp_table,0.4359,0.125,0.125,0.3109,0.3109,Yes,0.4359,0.125,0.4648,0.8,0.9,0.1388,0.851,0.0,0.0,False,0.9355,0.766,885.6003,576.906609,4,23.0,3.3,0.204165,0.08882857142857141,2.4871,hong_kong|2026-03-22,26.3
